Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161114d_3T1_redo,1,D,57,0,0.0004472539994822,2,2.00333780500023,Agent,1,passive,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_57.jpg,Agent_passive_57.jpg
2,FED_20161114d_3T1_redo,1,D,42,2,2.00442400799966,2,1.99907604100008,Agent,1,passive,Melissa Oval is being shaken by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_42.jpg,Agent_passive_42.jpg
3,FED_20161114d_3T1_redo,1,D,41,4,4.00406604099953,2,1.99804287900042,Agent,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Agent_passive_41.jpg
4,FED_20161114d_3T1_redo,1,D,50,6,6.002698538,2,2.00118766800006,Agent,1,passive,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_50.jpg,Agent_passive_50.jpg
5,FED_20161114d_3T1_redo,1,D,58,8,8.00452997399952,2,1.99914467000053,Agent,1,passive,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_58.jpg,Agent_passive_58.jpg
6,FED_20161114d_3T1_redo,1,D,47,10,10.0042398300002,2,1.99837251600002,Agent,0,active,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_47.jpg,Agent_active_47.jpg
,FED_20161114d_3T1_redo,1,D,NA,12,12.0032051170001,4,3.99876452899935,0,NA,,NA,NA,NA,NA,NA,,
7,FED_20161114d_3T1_redo,1,D,15,16,16.0027196869996,2,2.00102491600046,Agent,1,passive,Melissa Oval is being balanced by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_15.jpg,Agent_passive_15.jpg
8,FED_20161114d_3T1_redo,1,D,18,18,18.0043367379994,2,1.99765808000029,Patient,1,passive,Melissa Oval is being stopped by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_18.jpg,Patient_passive_18.jpg
9,FED_20161114d_3T1_redo,1,D,51,20,20.0027036700003,2,2.00011025799995,Agent,0,active,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star,Base_active_51.jpg,Agent_active_51.jpg
,FED_20161114d_3T1_redo,1,D,NA,22,22.0034543510001,4,3.99965843900009,0,NA,,NA,NA,NA,NA,NA,,
10,FED_20161114d_3T1_redo,1,D,59,26,26.0036625129997,2,2.00026176400024,Agent,1,passive,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_59.jpg,Agent_passive_59.jpg
11,FED_20161114d_3T1_redo,1,D,16,28,28.0045005069996,2,1.99880379500064,Patient,1,passive,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_16.jpg,Patient_passive_16.jpg
