"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-11.txt",11,1,135,0,0.01869,0.78202,0.14358,0.089572,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-13.txt",13,1,179,0,0.015671,0.30172,0.089261,0.047279,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-15.txt",15,1,179,0,0.018447,0.35982,0.097736,0.054069,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-17.txt",17,1,285,0,0.018899,0.36107,0.10618,0.049617,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-19.txt",19,1,179,0,0.013049,0.34341,0.10232,0.05332,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-21.txt",21,1,179,2,0.019678,2.1857,0.13795,0.19924,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-23.txt",23,1,284,0,0.010682,0.72797,0.12141,0.071321,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-25.txt",25,1,179,1,0.024796,1.1975,0.13738,0.11697,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-27.txt",27,1,135,0,0.021903,0.34037,0.12447,0.060678,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-5.txt",5,1,215,0,0.0086893,0.38493,0.10493,0.05502,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-7.txt",7,1,179,0,0.01178,0.33926,0.11001,0.05301,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_828000-9.txt",9,1,179,0,0.017107,0.33966,0.086179,0.048298,

