"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-11.txt",11,1,284,0,0.018846,0.62799,0.16594,0.096649,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-17.txt",17,1,178,0,0.009396,0.81958,0.21362,0.1425,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-19.txt",19,1,284,1,0.016549,1.0095,0.19688,0.14426,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-21.txt",21,1,223,0,0.027218,0.86444,0.19831,0.12389,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-23.txt",23,1,167,2,0.032781,1.2384,0.19038,0.14658,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-25.txt",25,1,135,0,0.021147,0.85101,0.22541,0.15948,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-27.txt",27,1,284,0,0.0175,0.87016,0.18908,0.11349,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-5.txt",5,1,178,0,0.023958,0.66073,0.17827,0.11526,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-7.txt",7,1,135,0,0.017908,0.51483,0.17196,0.099164,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_359000-9.txt",9,1,223,0,0.024775,0.43162,0.16663,0.093892,

