"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-11.txt",11,1,284,0,0.010485,0.59429,0.076811,0.057495,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-13.txt",13,1,135,0,0.022573,0.42181,0.096249,0.077416,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-15.txt",15,1,135,0,0.016185,0.38841,0.093166,0.062108,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-17.txt",17,1,284,0,0.018469,0.48068,0.10464,0.070434,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-19.txt",19,1,167,0,0.026294,0.47048,0.15138,0.088137,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-21.txt",21,1,223,0,0.019317,0.43289,0.097564,0.069997,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-23.txt",23,1,284,0,0.022622,0.36818,0.082585,0.049807,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-5.txt",5,1,178,0,0.013802,0.41223,0.066267,0.045475,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-7.txt",7,1,178,0,0.015608,0.29823,0.072455,0.048467,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_734000-9.txt",9,1,223,0,0.020532,0.42871,0.067182,0.051441,

