"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-11.txt",11,1,179,8,0.03295,1.8652,0.32995,0.30996,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-13.txt",13,1,284,14,0.038883,4.3577,0.30745,0.40974,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-15.txt",15,1,116,5,0.049841,3.7769,0.32598,0.48578,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-17.txt",17,1,116,16,0.054587,7.7014,0.63556,1.0465,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-19.txt",19,1,179,30,0.033756,2.9276,0.51138,0.59898,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-21.txt",21,1,284,21,0.022493,5.3571,0.38497,0.55528,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-23.txt",23,1,178,26,0.027589,3.7872,0.45828,0.62422,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-25.txt",25,1,167,21,0.021391,10.953,0.72977,1.5824,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-27.txt",27,1,179,36,0.036156,6.9212,0.75063,1.0623,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-29.txt",29,1,178,21,0.040576,5.5243,0.48657,0.68307,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-31.txt",31,1,223,23,0.016789,6.6431,0.44793,0.73664,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-5.txt",5,1,179,3,0.038629,1.235,0.23508,0.1819,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-7.txt",7,1,136,0,0.044851,0.89374,0.2513,0.15057,

"name","mynum","toInclude","npoints","over_one","min","max","mean","std",
"rp_406000-9.txt",9,1,136,2,0.041665,1.5963,0.27679,0.22064,

