Exp/Localizer,Script name/folder,Parameters,Para file
DyLoc,,"1:6, 1, 1",DyLoc1.para
,,"1:6, 2, 2",DyLoc2.para
langlocSN,,"1,0",superloc2conds_Parvizi_c1.para
,,"2,0",superloc2conds_Parvizi_c2.para
spatialFIN,"MDLoc, grid_Mdloc",n1 c1,spatialWM-224-c1.para
,,n2 c2,spatialWM-224-c2.para
MTLoc,,"1,1",MTLoc_p1.para
,,"2,2",MTLoc_p1.para
EventsMP,"1,1; 2;6",,EventsMP_p1.para
,"1,2; 2,1",,EventsMP_p2.para
,"1,3; 2,2; 3,1",,EventsMP_p3.para
,"1,4; 2,3; 3,2",,EventsMP_p4.para
,"1,5; 3,3 ",,EventsMP_p5.para
,"1,6; (etc.)",,EventsMP_p6.para
BioLoc,,,
