trial_type,measured_onset,perfect_onset,trialnum
fix,1727.674283,1737.174283, 
realTrial,1747.065049,1743.674283, 1
realTrial,1750.465293,1750.174283, 2
realTrial,1756.804418,1756.674283, 3
realTrial,1763.303816,1763.174283, 4
realTrial,1769.812862,1769.674283, 5
realTrial,1776.307156,1776.174283, 6
realTrial,1782.810618,1782.674283, 7
realTrial,1789.310466,1789.174283, 8
realTrial,1795.809051,1795.674283, 9
realTrial,1802.311571,1802.174283, 10
realTrial,1808.807967,1808.674283, 11
realTrial,1815.310228,1815.174283, 12
realTrial,1821.807019,1821.674283, 13
realTrial,1828.312380,1828.174283, 14
realTrial,1834.807489,1834.674283, 15
realTrial,1841.311101,1841.174283, 16
realTrial,1847.811400,1847.674283, 17
realTrial,1854.311313,1854.174283, 18
realTrial,1860.810740,1860.674283, 19
realTrial,1867.311700,1867.174283, 20
realTrial,1873.806277,1873.674283, 21
realTrial,1880.310091,1880.174283, 22
realTrial,1886.810240,1886.674283, 23
realTrial,1893.307768,1893.174283, 24
fix,1899.674706,1899.674283, 
realTrial,1915.880805,1915.674283, 25
realTrial,1922.307539,1922.174283, 26
realTrial,1928.810484,1928.674283, 27
realTrial,1935.307355,1935.174283, 28
realTrial,1941.806898,1941.674283, 29
realTrial,1948.312518,1948.174283, 30
realTrial,1954.812225,1954.674283, 31
realTrial,1961.310775,1961.174283, 32
realTrial,1967.809622,1967.674283, 33
realTrial,1974.309938,1974.174283, 34
realTrial,1980.807633,1980.674283, 35
realTrial,1987.312710,1987.174283, 36
realTrial,1993.809877,1993.674283, 37
realTrial,2000.308315,2000.174283, 38
realTrial,2006.811581,2006.674283, 39
realTrial,2013.307331,2013.174283, 40
realTrial,2019.809707,2019.674283, 41
realTrial,2026.318578,2026.174283, 42
realTrial,2032.811518,2032.674283, 43
realTrial,2039.313619,2039.174283, 44
realTrial,2045.811873,2045.674283, 45
realTrial,2052.303420,2052.174283, 46
realTrial,2058.801990,2058.674283, 47
realTrial,2065.303609,2065.174283, 48
fix,2071.674789,2071.674283, 
