trial_type,measured_onset,perfect_onset,trialnum
fix,24423.841072,24433.341072, 
realTrial,24443.135517,24439.841072, 1
realTrial,24446.657456,24446.341072, 2
realTrial,24452.970359,24452.841072, 3
realTrial,24459.469937,24459.341072, 4
realTrial,24465.970053,24465.841072, 5
realTrial,24472.469021,24472.341072, 6
realTrial,24478.969091,24478.841072, 7
realTrial,24485.469739,24485.341072, 8
realTrial,24491.970357,24491.841072, 9
realTrial,24498.469791,24498.341072, 10
realTrial,24504.969056,24504.841072, 11
realTrial,24511.469462,24511.341072, 12
realTrial,24517.970277,24517.841072, 13
realTrial,24524.469390,24524.341072, 14
realTrial,24530.980272,24530.841072, 15
realTrial,24537.480170,24537.341072, 16
realTrial,24543.971698,24543.841072, 17
realTrial,24550.470845,24550.341072, 18
realTrial,24556.969628,24556.841072, 19
realTrial,24563.469783,24563.341072, 20
realTrial,24569.970161,24569.841072, 21
realTrial,24576.469515,24576.341072, 22
realTrial,24582.973297,24582.841072, 23
realTrial,24589.469851,24589.341072, 24
fix,24595.841807,24595.841072, 
realTrial,24612.069789,24611.841072, 25
realTrial,24618.483283,24618.341072, 26
realTrial,24624.969617,24624.841072, 27
realTrial,24631.469284,24631.341072, 28
realTrial,24637.972370,24637.841072, 29
realTrial,24644.469639,24644.341072, 30
realTrial,24650.969580,24650.841072, 31
realTrial,24657.469824,24657.341072, 32
realTrial,24663.975009,24663.841072, 33
realTrial,24670.470186,24670.341072, 34
realTrial,24676.969522,24676.841072, 35
realTrial,24683.469556,24683.341072, 36
realTrial,24689.971898,24689.841072, 37
realTrial,24696.470165,24696.341072, 38
realTrial,24702.970155,24702.841072, 39
realTrial,24709.470283,24709.341072, 40
realTrial,24715.977640,24715.841072, 41
realTrial,24722.469871,24722.341072, 42
realTrial,24728.969438,24728.841072, 43
realTrial,24735.469375,24735.341072, 44
realTrial,24741.971482,24741.841072, 45
realTrial,24748.470099,24748.341072, 46
realTrial,24754.969036,24754.841072, 47
realTrial,24761.469612,24761.341072, 48
fix,24767.841210,24767.841072, 
