Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
25,FED_20161228b_3T2,2,B,56,66,66.0038234220001,2,1.99912408700038,Patient,0,active,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_56.jpg,Patient_active_56.jpg
,FED_20161228b_3T2,2,B,NA,68,68.0035283140005,2,1.99866818999999,0,NA,,NA,NA,NA,NA,NA,,
26,FED_20161228b_3T2,2,B,44,70,70.0030136000005,2,2.00048809899999,Agent,0,active,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_44.jpg,Agent_active_44.jpg
27,FED_20161228b_3T2,2,B,25,72,72.0041345870004,2,1.99871322499985,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg
28,FED_20161228b_3T2,2,B,38,74,74.0034317500003,2,1.99968574499962,Agent,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Agent_passive_38.jpg
29,FED_20161228b_3T2,2,B,37,76,76.0038033460005,2,2.00016863499968,Agent,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Agent_passive_37.jpg
,FED_20161228b_3T2,2,B,NA,78,78.0045840840003,2,1.99772569800007,0,NA,,NA,NA,NA,NA,NA,,
30,FED_20161228b_3T2,2,B,34,80,80.0029453330008,2,2.00055357699966,Patient,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Patient_passive_34.jpg
31,FED_20161228b_3T2,2,B,60,82,82.0040930000005,2,1.99840205300006,Agent,0,active,Melissa Oval is balancing Zach Star.,Melissa,Oval,Zach,Star,Base_active_60.jpg,Agent_active_60.jpg
32,FED_20161228b_3T2,2,B,43,84,84.0032571720003,2,1.99930323999979,Agent,0,active,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square,Base_active_43.jpg,Agent_active_43.jpg
33,FED_20161228b_3T2,2,B,22,86,86.0034707670002,2,1.99874140700013,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg
,FED_20161228b_3T2,2,B,NA,88,88.0029199730006,2,2.00007252499927,0,NA,,NA,NA,NA,NA,NA,,
34,FED_20161228b_3T2,2,B,45,90,90.0037137950003,2,1.99876121000034,Patient,1,passive,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_45.jpg,Patient_passive_45.jpg
35,FED_20161228b_3T2,2,B,15,92,92.0032638850007,2,1.99979194599928,Patient,0,active,Kyle Square is balancing Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_15.jpg,Patient_active_15.jpg
36,FED_20161228b_3T2,2,B,47,94,94.0036322010001,2,2.00019763599994,Patient,1,passive,Lily Triangle is being stopped by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_47.jpg,Patient_passive_47.jpg
37,FED_20161228b_3T2,2,B,36,96,96.0044097290001,2,1.99775950000003,Agent,1,passive,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_36.jpg,Agent_passive_36.jpg
,FED_20161228b_3T2,2,B,NA,98,98.0027291380002,2,2.00060660000054,0,NA,,NA,NA,NA,NA,NA,,
38,FED_20161228b_3T2,2,B,20,100,100.003992414,2,1.99904410500039,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg
39,FED_20161228b_3T2,2,B,29,102,102.003773473,2,1.99837436899998,Agent,1,passive,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_29.jpg,Agent_passive_29.jpg
40,FED_20161228b_3T2,2,B,35,104,104.002815804,2,2.00058619599986,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg
41,FED_20161228b_3T2,2,B,24,106,106.004213713,2,1.99795413500033,Agent,1,passive,Melissa Oval is being rolled by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_24.jpg,Agent_passive_24.jpg
42,FED_20161228b_3T2,2,B,13,108,108.002705026001,2,2.00003534899952,Patient,1,passive,Lily Triangle is being balanced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_13.jpg,Patient_passive_13.jpg
43,FED_20161228b_3T2,2,B,51,110,110.003317744,2,1.99899911700049,Agent,0,active,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star,Base_active_51.jpg,Agent_active_51.jpg
44,FED_20161228b_3T2,2,B,36,112,112.002857802,2,1.99974876499982,Patient,1,passive,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_36.jpg,Patient_passive_36.jpg
,FED_20161228b_3T2,2,B,NA,114,114.003171386001,6,5.99907435499972,0,NA,,NA,NA,NA,NA,NA,,
45,FED_20161228b_3T2,2,B,46,120,120.002798771,2,1.99942525400002,Agent,0,active,Melissa Oval is stopping Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_46.jpg,Agent_active_46.jpg
46,FED_20161228b_3T2,2,B,4,122,122.002764616001,2,1.99960431299951,Agent,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Agent_passive_4.jpg
,FED_20161228b_3T2,2,B,NA,124,124.002911067,4,4.0000267559999,0,NA,,NA,NA,NA,NA,NA,,
47,FED_20161228b_3T2,2,B,26,128,128.003501561,2,1.99837631999981,Patient,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Patient_active_26.jpg
,FED_20161228b_3T2,2,B,NA,130,130.002493237001,2,1.99992933999965,0,NA,,NA,NA,NA,NA,NA,,
48,FED_20161228b_3T2,2,B,6,132,132.00298071,2,2.00039698399996,Agent,0,active,Kyle Square is bouncing Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_6.jpg,Agent_active_6.jpg
49,FED_20161228b_3T2,2,B,7,134,134.004090041,2,1.99758129299971,Patient,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Patient_passive_7.jpg
50,FED_20161228b_3T2,2,B,11,136,136.002334699,2,2.00051492900002,Patient,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Patient_passive_11.jpg
