trial_type,measured_onset,perfect_onset,trialnum
fix,14761.139829,14770.639829, 
realTrial,14777.624819,14777.139829, 1
realTrial,14783.841495,14783.639829, 2
realTrial,14790.267889,14790.139829, 3
realTrial,14796.767208,14796.639829, 4
realTrial,14803.269753,14803.139829, 5
realTrial,14809.771272,14809.639829, 6
realTrial,14816.276150,14816.139829, 7
realTrial,14822.776654,14822.639829, 8
realTrial,14829.271699,14829.139829, 9
realTrial,14835.768499,14835.639829, 10
realTrial,14842.275468,14842.139829, 11
realTrial,14848.767554,14848.639829, 12
realTrial,14855.272343,14855.139829, 13
realTrial,14861.778455,14861.639829, 14
realTrial,14868.267341,14868.139829, 15
realTrial,14874.774890,14874.639829, 16
realTrial,14881.271945,14881.139829, 17
realTrial,14887.775661,14887.639829, 18
realTrial,14894.271564,14894.139829, 19
realTrial,14900.767719,14900.639829, 20
realTrial,14907.272015,14907.139829, 21
realTrial,14913.766885,14913.639829, 22
realTrial,14920.267161,14920.139829, 23
realTrial,14926.767411,14926.639829, 24
fix,14933.140263,14933.139829, 
realTrial,14949.376875,14949.139829, 25
realTrial,14955.782286,14955.639829, 26
realTrial,14962.268245,14962.139829, 27
realTrial,14968.768233,14968.639829, 28
realTrial,14975.276118,14975.139829, 29
realTrial,14981.775062,14981.639829, 30
realTrial,14988.275310,14988.139829, 31
realTrial,14994.767872,14994.639829, 32
realTrial,15001.272654,15001.139829, 33
realTrial,15007.774127,15007.639829, 34
realTrial,15014.268167,15014.139829, 35
realTrial,15020.772082,15020.639829, 36
realTrial,15027.274166,15027.139829, 37
realTrial,15033.776798,15033.639829, 38
realTrial,15040.267773,15040.139829, 39
realTrial,15046.775289,15046.639829, 40
realTrial,15053.276216,15053.139829, 41
realTrial,15059.767759,15059.639829, 42
realTrial,15066.272036,15066.139829, 43
realTrial,15072.775471,15072.639829, 44
realTrial,15079.271666,15079.139829, 45
realTrial,15085.768224,15085.639829, 46
realTrial,15092.269488,15092.139829, 47
realTrial,15098.767883,15098.639829, 48
fix,15105.140017,15105.139829, 
