Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161228b_3T2,2,D,19,0,0.000452379999842378,2,2.00248805099909,Agent,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Agent_passive_19.jpg
2,FED_20161228b_3T2,2,D,43,2,2.00358211399907,2,2.00000004400135,Agent,0,active,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square,Base_active_43.jpg,Agent_active_43.jpg
3,FED_20161228b_3T2,2,D,34,4,4.00421321899921,2,1.99994136799978,Agent,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Agent_active_34.jpg
,FED_20161228b_3T2,2,D,NA,6,6.00475847099915,2,1.99691810500008,0,NA,,NA,NA,NA,NA,NA,,
4,FED_20161228b_3T2,2,D,14,8,8.0025113440006,2,2.00004824999996,Patient,1,passive,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_14.jpg,Patient_passive_14.jpg
5,FED_20161228b_3T2,2,D,45,10,10.0031604409996,2,1.9998024939996,Agent,1,passive,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_45.jpg,Agent_passive_45.jpg
,FED_20161228b_3T2,2,D,NA,12,12.0035853560003,2,1.99792582800001,0,NA,,NA,NA,NA,NA,NA,,
6,FED_20161228b_3T2,2,D,30,14,14.0022971950002,2,2.00181315199916,Agent,0,active,Lily Triangle is balancing Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_30.jpg,Agent_active_30.jpg
7,FED_20161228b_3T2,2,D,14,16,16.0046646909996,2,1.99842961200011,Agent,1,passive,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_14.jpg,Agent_passive_14.jpg
8,FED_20161228b_3T2,2,D,58,18,18.0037176469996,2,1.99878724300106,Patient,0,active,Melissa Oval is balancing Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_58.jpg,Patient_active_58.jpg
9,FED_20161228b_3T2,2,D,1,20,20.0031378909989,2,1.99946193700089,Patient,0,active,Kyle Square is stopping Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_1.jpg,Patient_active_1.jpg
10,FED_20161228b_3T2,2,D,33,22,22.0032012259999,2,2.00074325899914,Patient,1,passive,Melissa Oval is being stopped by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_33.jpg,Patient_passive_33.jpg
11,FED_20161228b_3T2,2,D,51,24,24.0045352010002,2,1.99847084300018,Agent,1,passive,Zach Star is being bounced by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_51.jpg,Agent_passive_51.jpg
12,FED_20161228b_3T2,2,D,32,26,26.0035993410002,2,2.00006948800001,Agent,0,active,Zach Star is stopping Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_32.jpg,Agent_active_32.jpg
,FED_20161228b_3T2,2,D,NA,28,28.004307154999,2,1.99728102900008,0,NA,,NA,NA,NA,NA,NA,,
13,FED_20161228b_3T2,2,D,53,30,30.0023286699998,2,2.00123357899975,Patient,0,active,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_53.jpg,Patient_active_53.jpg
14,FED_20161228b_3T2,2,D,11,32,32.0042029430006,2,1.99839384099869,Agent,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Agent_passive_11.jpg
15,FED_20161228b_3T2,2,D,45,34,34.0033362539998,2,1.99972998500016,Patient,1,passive,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_45.jpg,Patient_passive_45.jpg
,FED_20161228b_3T2,2,D,NA,36,36.0037134180002,2,1.9996119160005,0,NA,,NA,NA,NA,NA,NA,,
16,FED_20161228b_3T2,2,D,46,38,38.00391915,2,1.99974756399934,Patient,1,passive,Kyle Square is being stopped by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_46.jpg,Patient_passive_46.jpg
17,FED_20161228b_3T2,2,D,31,40,40.0042454180002,2,1.99863611500041,Agent,1,passive,Kyle Square is being stopped by Zach Star.,Zach,Star,Kyle,Square,Base_passive_31.jpg,Agent_passive_31.jpg
,FED_20161228b_3T2,2,D,NA,42,42.0036433429996,4,3.99798237700088,0,NA,,NA,NA,NA,NA,NA,,
18,FED_20161228b_3T2,2,D,2,46,46.0022457769992,2,2.00162598499992,Agent,0,active,Kyle Square is stopping Zach Star.,Kyle,Square,Zach,Star,Base_active_2.jpg,Agent_active_2.jpg
19,FED_20161228b_3T2,2,D,47,48,48.0044785030004,2,1.99952043099984,Patient,1,passive,Lily Triangle is being stopped by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_47.jpg,Patient_passive_47.jpg
20,FED_20161228b_3T2,2,D,20,50,50.0045718090005,2,1.99859254999865,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg
,FED_20161228b_3T2,2,D,NA,52,52.0038191610001,2,1.99903236899991,0,NA,,NA,NA,NA,NA,NA,,
21,FED_20161228b_3T2,2,D,32,54,54.0037354800006,2,1.99943723799879,Patient,0,active,Zach Star is stopping Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_32.jpg,Patient_active_32.jpg
22,FED_20161228b_3T2,2,D,34,56,56.0038855879993,2,2.0011099229996,Patient,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Patient_active_34.jpg
23,FED_20161228b_3T2,2,D,22,58,58.005641452999,2,1.99779855400084,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg
24,FED_20161228b_3T2,2,D,22,60,60.004074262999,2,1.99938330300029,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg
