trial_type,measured_onset,perfect_onset,trialnum
fix,27848.451787,27857.951787, 
realTrial,27864.920996,27864.451787, 1
realTrial,27871.178681,27870.951787, 2
realTrial,27877.594302,27877.451787, 3
realTrial,27884.080922,27883.951787, 4
realTrial,27890.581354,27890.451787, 5
realTrial,27897.080750,27896.951787, 6
realTrial,27903.580415,27903.451787, 7
realTrial,27910.080820,27909.951787, 8
realTrial,27916.580383,27916.451787, 9
realTrial,27923.080693,27922.951787, 10
realTrial,27929.581289,27929.451787, 11
realTrial,27936.082071,27935.951787, 12
realTrial,27942.582615,27942.451787, 13
realTrial,27949.079749,27948.951787, 14
realTrial,27955.580264,27955.451787, 15
realTrial,27962.080469,27961.951787, 16
realTrial,27968.583071,27968.451787, 17
realTrial,27975.081799,27974.951787, 18
realTrial,27981.581311,27981.451787, 19
realTrial,27988.081397,27987.951787, 20
realTrial,27994.581122,27994.451787, 21
realTrial,28001.080333,28000.951787, 22
realTrial,28007.580240,28007.451787, 23
realTrial,28014.080154,28013.951787, 24
fix,28020.451839,28020.451787, 
realTrial,28036.670234,28036.451787, 25
realTrial,28043.094514,28042.951787, 26
realTrial,28049.580082,28049.451787, 27
realTrial,28056.081154,28055.951787, 28
realTrial,28062.582137,28062.451787, 29
realTrial,28069.079498,28068.951787, 30
realTrial,28075.580418,28075.451787, 31
realTrial,28082.080037,28081.951787, 32
realTrial,28088.582602,28088.451787, 33
realTrial,28095.079379,28094.951787, 34
realTrial,28101.580368,28101.451787, 35
realTrial,28108.079931,28107.951787, 36
realTrial,28114.581658,28114.451787, 37
realTrial,28121.087795,28120.951787, 38
realTrial,28127.580759,28127.451787, 39
realTrial,28134.079328,28133.951787, 40
realTrial,28140.582977,28140.451787, 41
realTrial,28147.081134,28146.951787, 42
realTrial,28153.581387,28153.451787, 43
realTrial,28160.079572,28159.951787, 44
realTrial,28166.582173,28166.451787, 45
realTrial,28173.080810,28172.951787, 46
realTrial,28179.580602,28179.451787, 47
realTrial,28186.080785,28185.951787, 48
fix,28192.451900,28192.451787, 
