   0.0 	      0 
  18.0 	      1 
  21.0 	      1 
  24.0 	      1 
  27.0 	      1 
  30.0 	      1 
  33.0 	      1 
  36.0 	      2 
  39.0 	      2 
  42.0 	      2 
  45.0 	      2 
  48.0 	      2 
  51.0 	      2 
  54.0 	      3 
  57.0 	      3 
  60.0 	      3 
  63.0 	      3 
  66.0 	      3 
  69.0 	      3 
  72.0 	      4 
  75.0 	      4 
  78.0 	      4 
  81.0 	      4 
  84.0 	      4 
  87.0 	      4 
  90.0 	      5 
  93.0 	      5 
  96.0 	      5 
  99.0 	      5 
 102.0 	      5 
 105.0 	      5 
 108.0 	      0 
 126.0 	      5 
 129.0 	      5 
 132.0 	      5 
 135.0 	      5 
 138.0 	      5 
 141.0 	      5 
 144.0 	      4 
 147.0 	      4 
 150.0 	      4 
 153.0 	      4 
 156.0 	      4 
 159.0 	      4 
 162.0 	      3 
 165.0 	      3 
 168.0 	      3 
 171.0 	      3 
 174.0 	      3 
 177.0 	      3 
 180.0 	      2 
 183.0 	      2 
 186.0 	      2 
 189.0 	      2 
 192.0 	      2 
 195.0 	      2 
 198.0 	      1 
 201.0 	      1 
 204.0 	      1 
 207.0 	      1 
 210.0 	      1 
 213.0 	      1 
 216.0 	      0 
