trial_type,measured_onset,perfect_onset,trialnum
fix,6217.885803,6227.385803, 
realTrial,6237.174098,6233.885803, 1
realTrial,6240.702102,6240.385803, 2
realTrial,6247.014532,6246.885803, 3
realTrial,6253.514342,6253.385803, 4
realTrial,6260.023827,6259.885803, 5
realTrial,6266.513897,6266.385803, 6
realTrial,6273.014977,6272.885803, 7
realTrial,6279.514159,6279.385803, 8
realTrial,6286.017816,6285.885803, 9
realTrial,6292.514168,6292.385803, 10
realTrial,6299.014304,6298.885803, 11
realTrial,6305.514551,6305.385803, 12
realTrial,6312.015516,6311.885803, 13
realTrial,6318.522176,6318.385803, 14
realTrial,6325.018140,6324.885803, 15
realTrial,6331.522642,6331.385803, 16
realTrial,6338.017385,6337.885803, 17
realTrial,6344.516983,6344.385803, 18
realTrial,6351.014156,6350.885803, 19
realTrial,6357.513895,6357.385803, 20
realTrial,6364.014709,6363.885803, 21
realTrial,6370.524067,6370.385803, 22
realTrial,6377.013967,6376.885803, 23
realTrial,6383.520988,6383.385803, 24
fix,6389.886461,6389.885803, 
realTrial,6406.105860,6405.885803, 25
realTrial,6412.532390,6412.385803, 26
realTrial,6419.014007,6418.885803, 27
realTrial,6425.513867,6425.385803, 28
realTrial,6432.017538,6431.885803, 29
realTrial,6438.513887,6438.385803, 30
realTrial,6445.014601,6444.885803, 31
realTrial,6451.518517,6451.385803, 32
realTrial,6458.016156,6457.885803, 33
realTrial,6464.514474,6464.385803, 34
realTrial,6471.014992,6470.885803, 35
realTrial,6477.521036,6477.385803, 36
realTrial,6484.017065,6483.885803, 37
realTrial,6490.517478,6490.385803, 38
realTrial,6497.014862,6496.885803, 39
realTrial,6503.514264,6503.385803, 40
realTrial,6510.017975,6509.885803, 41
realTrial,6516.521435,6516.385803, 42
realTrial,6523.014673,6522.885803, 43
realTrial,6529.520265,6529.385803, 44
realTrial,6536.018996,6535.885803, 45
realTrial,6542.513827,6542.385803, 46
realTrial,6549.013768,6548.885803, 47
realTrial,6555.513180,6555.385803, 48
fix,6561.886310,6561.885803, 
