trial_type,measured_onset,perfect_onset,trialnum
fix,30750.070123,30759.570123, 
realTrial,30766.546626,30766.070123, 1
realTrial,30772.768030,30772.570123, 2
realTrial,30779.213053,30779.070123, 3
realTrial,30785.698942,30785.570123, 4
realTrial,30792.199691,30792.070123, 5
realTrial,30798.698665,30798.570123, 6
realTrial,30805.199351,30805.070123, 7
realTrial,30811.698272,30811.570123, 8
realTrial,30818.200446,30818.070123, 9
realTrial,30824.700027,30824.570123, 10
realTrial,30831.199155,30831.070123, 11
realTrial,30837.699547,30837.570123, 12
realTrial,30844.200535,30844.070123, 13
realTrial,30850.699093,30850.570123, 14
realTrial,30857.198796,30857.070123, 15
realTrial,30863.699285,30863.570123, 16
realTrial,30870.198934,30870.070123, 17
realTrial,30876.700010,30876.570123, 18
realTrial,30883.197531,30883.070123, 19
realTrial,30889.698969,30889.570123, 20
realTrial,30896.200378,30896.070123, 21
realTrial,30902.699298,30902.570123, 22
realTrial,30909.199224,30909.070123, 23
realTrial,30915.699515,30915.570123, 24
fix,30922.070366,30922.070123, 
realTrial,30938.277802,30938.070123, 25
realTrial,30944.715948,30944.570123, 26
realTrial,30951.198620,30951.070123, 27
realTrial,30957.698400,30957.570123, 28
realTrial,30964.201545,30964.070123, 29
realTrial,30970.698856,30970.570123, 30
realTrial,30977.199789,30977.070123, 31
realTrial,30983.698670,30983.570123, 32
realTrial,30990.200513,30990.070123, 33
realTrial,30996.698419,30996.570123, 34
realTrial,31003.199004,31003.070123, 35
realTrial,31009.699443,31009.570123, 36
realTrial,31016.200430,31016.070123, 37
realTrial,31022.697729,31022.570123, 38
realTrial,31029.199194,31029.070123, 39
realTrial,31035.699316,31035.570123, 40
realTrial,31042.206344,31042.070123, 41
realTrial,31048.698991,31048.570123, 42
realTrial,31055.199161,31055.070123, 43
realTrial,31061.698846,31061.570123, 44
realTrial,31068.199134,31068.070123, 45
realTrial,31074.699911,31074.570123, 46
realTrial,31081.199588,31081.070123, 47
realTrial,31087.698630,31087.570123, 48
fix,31094.070642,31094.070123, 
