trial_type,measured_onset,perfect_onset,trialnum
fix,17826.312539,17835.812539, 
realTrial,17842.787521,17842.312539, 1
realTrial,17849.063070,17848.812539, 2
realTrial,17855.441110,17855.312539, 3
realTrial,17861.939648,17861.812539, 4
realTrial,17868.441228,17868.312539, 5
realTrial,17874.941920,17874.812539, 6
realTrial,17881.440717,17881.312539, 7
realTrial,17887.940997,17887.812539, 8
realTrial,17894.441913,17894.312539, 9
realTrial,17900.941073,17900.812539, 10
realTrial,17907.441423,17907.312539, 11
realTrial,17913.939853,17913.812539, 12
realTrial,17920.442055,17920.312539, 13
realTrial,17926.940918,17926.812539, 14
realTrial,17933.440553,17933.312539, 15
realTrial,17939.941428,17939.812539, 16
realTrial,17946.440175,17946.312539, 17
realTrial,17952.940020,17952.812539, 18
realTrial,17959.439962,17959.312539, 19
realTrial,17965.940527,17965.812539, 20
realTrial,17972.441982,17972.312539, 21
realTrial,17978.941331,17978.812539, 22
realTrial,17985.440894,17985.312539, 23
realTrial,17991.941410,17991.812539, 24
fix,17998.312782,17998.312539, 
realTrial,18014.539539,18014.312539, 25
realTrial,18020.955158,18020.812539, 26
realTrial,18027.440834,18027.312539, 27
realTrial,18033.942015,18033.812539, 28
realTrial,18040.442392,18040.312539, 29
realTrial,18046.941861,18046.812539, 30
realTrial,18053.441042,18053.312539, 31
realTrial,18059.940777,18059.812539, 32
realTrial,18066.442433,18066.312539, 33
realTrial,18072.938024,18072.812539, 34
realTrial,18079.440839,18079.312539, 35
realTrial,18085.938122,18085.812539, 36
realTrial,18092.442174,18092.312539, 37
realTrial,18098.941212,18098.812539, 38
realTrial,18105.441589,18105.312539, 39
realTrial,18111.940766,18111.812539, 40
realTrial,18118.441985,18118.312539, 41
realTrial,18124.941902,18124.812539, 42
realTrial,18131.441785,18131.312539, 43
realTrial,18137.940939,18137.812539, 44
realTrial,18144.442716,18144.312539, 45
realTrial,18150.941678,18150.812539, 46
realTrial,18157.440982,18157.312539, 47
realTrial,18163.941078,18163.812539, 48
fix,18170.312966,18170.312539, 
