file,manner,path,agent,itemset,blocktype,blocknum, trialnum
stopstart_behind_6.mp4,stopstart,behind,6,X,P,1, 1
halfrotate_behind_4.mp4,halfrotate,behind,4,X,P,1, 2
bounce_behind_5.mp4,bounce,behind,5,X,P,1, 3
vibrate_behind_7.mp4,vibrate,behind,7,X,P,1, 4
sine_to_3.mp4,sine,to,3,W,A,2, 5
wheelie_circle_3.mp4,wheelie,circle,3,W,A,2, 6
rotate_onto_3.mp4,rotate,onto,3,W,A,2, 7
rock_tofar_3.mp4,rock,tofar,3,W,A,2, 8
vibrate_past_7.mp4,vibrate,past,7,X,D,3, 9
bounce_underfar_6.mp4,bounce,underfar,6,X,D,3, 10
stopstart_under_4.mp4,stopstart,under,4,X,D,3, 11
halfrotate_behind_5.mp4,halfrotate,behind,5,X,D,3, 12
none_control3_2.mp4,none,control3,2,Y,C,4, 13
none_control4_1.mp4,none,control4,1,Y,C,4, 14
none_control1_3.mp4,none,control1,3,Y,C,4, 15
none_control2_8.mp4,none,control2,8,Y,C,4, 16
bounce_underfar_4.mp4,bounce,underfar,4,X,S,5, 17
bounce_underfar_4.mp4,bounce,underfar,4,X,S,5, 18
bounce_underfar_4.mp4,bounce,underfar,4,X,S,5, 19
bounce_underfar_4.mp4,bounce,underfar,4,X,S,5, 20
rotate_onto_1.mp4,rotate,onto,1,W,M,6, 21
rotate_to_2.mp4,rotate,to,2,W,M,6, 22
rotate_tofar_3.mp4,rotate,tofar,3,W,M,6, 23
rotate_circle_8.mp4,rotate,circle,8,W,M,6, 24
stopstart_behind_7.mp4,stopstart,behind,7,X,M,7, 25
stopstart_past_4.mp4,stopstart,past,4,X,M,7, 26
stopstart_under_5.mp4,stopstart,under,5,X,M,7, 27
stopstart_underfar_6.mp4,stopstart,underfar,6,X,M,7, 28
wheelie_tofar_8.mp4,wheelie,tofar,8,W,S,8, 29
wheelie_tofar_8.mp4,wheelie,tofar,8,W,S,8, 30
wheelie_tofar_8.mp4,wheelie,tofar,8,W,S,8, 31
wheelie_tofar_8.mp4,wheelie,tofar,8,W,S,8, 32
none_control5_5.mp4,none,control5,5,Z,C,9, 33
none_control8_6.mp4,none,control8,6,Z,C,9, 34
none_control6_4.mp4,none,control6,4,Z,C,9, 35
none_control7_7.mp4,none,control7,7,Z,C,9, 36
wheelie_onto_1.mp4,wheelie,onto,1,W,D,10, 37
rotate_to_3.mp4,rotate,to,3,W,D,10, 38
rock_tofar_2.mp4,rock,tofar,2,W,D,10, 39
sine_circle_8.mp4,sine,circle,8,W,D,10, 40
vibrate_behind_5.mp4,vibrate,behind,5,X,A,11, 41
bounce_under_5.mp4,bounce,under,5,X,A,11, 42
stopstart_past_5.mp4,stopstart,past,5,X,A,11, 43
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X,A,11, 44
rotate_onto_2.mp4,rotate,onto,2,W,P,12, 45
sine_onto_1.mp4,sine,onto,1,W,P,12, 46
wheelie_onto_3.mp4,wheelie,onto,3,W,P,12, 47
rock_onto_8.mp4,rock,onto,8,W,P,12, 48
