Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161228b_3T2,1,B,43,0,0.00122848099999828,2,2.00298079099957,Patient,1,passive,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_43.jpg,Patient_passive_43.jpg
2,FED_20161228b_3T2,1,B,22,2,2.0050493130002,2,1.99844669499998,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg
3,FED_20161228b_3T2,1,B,9,4,4.00409159100036,2,1.99848293199921,Patient,1,passive,Melissa Oval is being rolled by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_9.jpg,Patient_passive_9.jpg
,FED_20161228b_3T2,1,B,NA,6,6.003192442,4,3.99948077600038,0,NA,,NA,NA,NA,NA,NA,,
4,FED_20161228b_3T2,1,B,39,10,10.0032630389996,2,1.9995365929999,Patient,0,active,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval,Base_active_39.jpg,Patient_active_39.jpg
5,FED_20161228b_3T2,1,B,44,12,12.0034355289999,2,1.99970301800022,Patient,1,passive,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_44.jpg,Patient_passive_44.jpg
6,FED_20161228b_3T2,1,B,23,14,14.0037639689999,2,1.99938792499961,Patient,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Patient_active_23.jpg
7,FED_20161228b_3T2,1,B,4,16,16.0037426919998,2,2.00017356999979,Agent,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Agent_active_4.jpg
8,FED_20161228b_3T2,1,B,25,18,18.0044655250003,2,1.9999052739995,Agent,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Agent_active_25.jpg
,FED_20161228b_3T2,1,B,NA,20,20.0049961220002,4,3.99816428599934,0,NA,,NA,NA,NA,NA,NA,,
9,FED_20161228b_3T2,1,B,16,24,24.0037009580001,2,1.99876171199958,Agent,1,passive,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_16.jpg,Agent_passive_16.jpg
10,FED_20161228b_3T2,1,B,46,26,26.003022336,2,2.00092551600028,Patient,1,passive,Kyle Square is being stopped by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_46.jpg,Patient_passive_46.jpg
11,FED_20161228b_3T2,1,B,54,28,28.0044989970002,2,1.99804735899943,Patient,1,passive,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_54.jpg,Patient_passive_54.jpg
,FED_20161228b_3T2,1,B,NA,30,30.0031197460003,4,4.00026225900001,0,NA,,NA,NA,NA,NA,NA,,
12,FED_20161228b_3T2,1,B,25,34,34.0039846039999,2,1.99961703099962,Patient,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Patient_active_25.jpg
13,FED_20161228b_3T2,1,B,60,36,36.0042081219999,2,1.99972996399993,Agent,1,passive,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_60.jpg,Agent_passive_60.jpg
