Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161228b_3T2,1,C,56,0,0.000457652000477538,2,2.00260232300025,Patient,1,passive,Lily Triangle is being shaken by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_56.jpg,Patient_passive_56.jpg
2,FED_20161228b_3T2,1,C,1,2,2.0036836700001,2,1.9988422840006,Agent,1,passive,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_1.jpg,Agent_passive_1.jpg
3,FED_20161228b_3T2,1,C,60,4,4.00313779000044,2,2.00074330299958,Patient,1,passive,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_60.jpg,Patient_passive_60.jpg
4,FED_20161228b_3T2,1,C,43,6,6.00443649000044,2,1.99778879600035,Agent,1,passive,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_43.jpg,Agent_passive_43.jpg
5,FED_20161228b_3T2,1,C,53,8,8.00284134699996,2,1.99929403000078,Agent,0,active,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_53.jpg,Agent_active_53.jpg
6,FED_20161228b_3T2,1,C,53,10,10.0027335550003,2,1.99984296999992,Patient,0,active,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_53.jpg,Patient_active_53.jpg
,FED_20161228b_3T2,1,C,NA,12,12.0031787070002,4,4.00024177400064,0,NA,,NA,NA,NA,NA,NA,,
7,FED_20161228b_3T2,1,C,60,16,16.0039686600003,2,1.99811936700007,Agent,1,passive,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_60.jpg,Agent_passive_60.jpg
,FED_20161228b_3T2,1,C,NA,18,18.0027055930004,2,2.00037080200036,0,NA,,NA,NA,NA,NA,NA,,
8,FED_20161228b_3T2,1,C,27,20,20.0037181330008,2,1.99923155299985,Patient,0,active,Lily Triangle is shaking Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_27.jpg,Patient_active_27.jpg
9,FED_20161228b_3T2,1,C,15,22,22.0035861640008,2,1.99933261499973,Agent,0,active,Kyle Square is balancing Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_15.jpg,Agent_active_15.jpg
10,FED_20161228b_3T2,1,C,13,24,24.0035145050006,2,2.00033011399955,Agent,1,passive,Lily Triangle is being balanced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_13.jpg,Agent_passive_13.jpg
11,FED_20161228b_3T2,1,C,55,26,26.0044703040003,2,1.99758485100028,Agent,0,active,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_55.jpg,Agent_active_55.jpg
,FED_20161228b_3T2,1,C,NA,28,28.0029299710004,2,1.99942113700035,0,NA,,NA,NA,NA,NA,NA,,
12,FED_20161228b_3T2,1,C,42,30,30.0030142980004,2,1.99940892999984,Patient,1,passive,Melissa Oval is being shaken by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_42.jpg,Patient_passive_42.jpg
,FED_20161228b_3T2,1,C,NA,32,32.0032268880004,2,2.00032885400014,0,NA,,NA,NA,NA,NA,NA,,
13,FED_20161228b_3T2,1,C,46,34,34.0041936380003,2,1.99867917600022,Patient,0,active,Melissa Oval is stopping Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_46.jpg,Patient_active_46.jpg
14,FED_20161228b_3T2,1,C,57,36,36.0034632590005,2,1.99909805399966,Patient,1,passive,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_57.jpg,Patient_passive_57.jpg
15,FED_20161228b_3T2,1,C,17,38,38.0032697390006,2,1.99926351999966,Patient,1,passive,Zach Star is being stopped by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_17.jpg,Patient_passive_17.jpg
,FED_20161228b_3T2,1,C,NA,40,40.0032083420001,2,1.99840969900015,0,NA,,NA,NA,NA,NA,NA,,
16,FED_20161228b_3T2,1,C,34,42,42.002297389,2,2.00132727300024,Agent,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Agent_passive_34.jpg
,FED_20161228b_3T2,1,C,NA,44,44.0041966480003,2,1.99899855100011,0,NA,,NA,NA,NA,NA,NA,,
17,FED_20161228b_3T2,1,C,25,46,46.0038221540008,2,1.99979444599921,Patient,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Patient_active_25.jpg
18,FED_20161228b_3T2,1,C,37,48,48.004227122,2,1.99986944500051,Agent,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Agent_passive_37.jpg
,FED_20161228b_3T2,1,C,NA,50,50.0047070270002,2,1.99737982799979,0,NA,,NA,NA,NA,NA,NA,,
19,FED_20161228b_3T2,1,C,5,52,52.0027240960007,2,1.99931055499928,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg
20,FED_20161228b_3T2,1,C,10,54,54.0028776190002,2,2.00002493500051,Patient,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Patient_active_10.jpg
21,FED_20161228b_3T2,1,C,7,56,56.003464204,2,2.0004877020001,Patient,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Patient_passive_7.jpg
22,FED_20161228b_3T2,1,C,45,58,58.0045558950005,2,1.99933941499967,Patient,0,active,Zach Star is balancing Melissa Oval.,Zach,Star,Melissa,Oval,Base_active_45.jpg,Patient_active_45.jpg
,FED_20161228b_3T2,1,C,NA,60,60.0044713070001,2,1.99716706700019,0,NA,,NA,NA,NA,NA,NA,,
23,FED_20161228b_3T2,1,C,55,62,62.0022007370007,2,1.9999586139993,Patient,0,active,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_55.jpg,Patient_active_55.jpg
24,FED_20161228b_3T2,1,C,52,64,64.0029774290006,2,1.99939058000018,Patient,0,active,Melissa Oval is rolling Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_52.jpg,Patient_active_52.jpg
,FED_20161228b_3T2,1,C,NA,66,66.00314196,2,2.00020697500076,0,NA,,NA,NA,NA,NA,NA,,
25,FED_20161228b_3T2,1,C,50,68,68.0039825379999,2,1.99826404800024,Patient,0,active,Melissa Oval is bouncing Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_50.jpg,Patient_active_50.jpg
26,FED_20161228b_3T2,1,C,49,70,70.0028080110005,2,1.99901794499965,Agent,1,passive,Kyle Square is being bounced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_49.jpg,Agent_passive_49.jpg
27,FED_20161228b_3T2,1,C,14,72,72.0024474830007,2,2.00112895299935,Agent,0,active,Kyle Square is balancing Zach Star.,Kyle,Square,Zach,Star,Base_active_14.jpg,Agent_active_14.jpg
,FED_20161228b_3T2,1,C,NA,74,74.0041828420008,2,1.99728422999942,0,NA,,NA,NA,NA,NA,NA,,
28,FED_20161228b_3T2,1,C,16,76,76.0020428140006,2,2.00204741699963,Agent,0,active,Lily Triangle is stopping Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_16.jpg,Agent_active_16.jpg
29,FED_20161228b_3T2,1,C,39,78,78.0047090450007,2,1.99802498999998,Patient,1,passive,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_39.jpg,Patient_passive_39.jpg
30,FED_20161228b_3T2,1,C,40,80,80.0032735650002,2,1.99865044099988,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg
31,FED_20161228b_3T2,1,C,24,82,82.0024675890008,2,1.99961119599993,Agent,1,passive,Melissa Oval is being rolled by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_24.jpg,Agent_passive_24.jpg
,FED_20161228b_3T2,1,C,NA,84,84.0026202090003,4,3.99982250100038,0,NA,,NA,NA,NA,NA,NA,,
32,FED_20161228b_3T2,1,C,50,88,88.0030400960004,2,1.99993507199997,Agent,0,active,Melissa Oval is bouncing Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_50.jpg,Agent_active_50.jpg
33,FED_20161228b_3T2,1,C,34,90,90.0037194800007,2,2.00112931900003,Patient,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Patient_passive_34.jpg
34,FED_20161228b_3T2,1,C,26,92,92.00557407,2,1.99742301700007,Agent,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Agent_active_26.jpg
35,FED_20161228b_3T2,1,C,30,94,94.0037361720006,2,1.99839963799968,Patient,1,passive,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_30.jpg,Patient_passive_30.jpg
,FED_20161228b_3T2,1,C,NA,96,96.0026912740004,2,1.999286536,0,NA,,NA,NA,NA,NA,NA,,
