SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20161227a_3T2,2,y,4,2,1,16.009143829345703,20.526360988616943,Hard,"[2, 1, 5, 7, 3, 10, 9, 6]","[3, 1, 9, 6, 2, 5, 8, 12]",1,1,1,1.6335299015045166
FED_20161227a_3T2,2,y,4,2,2,24.01016592979431,28.527447938919067,Hard,"[12, 11, 8, 5, 9, 10, 7, 6]","[5, 9, 6, 7, 8, 10, 11, 3]",1,1,1,0.7334330081939697
FED_20161227a_3T2,2,y,4,2,3,32.01122784614563,36.52850604057312,Hard,"[8, 2, 3, 7, 4, 10, 11, 6]","[11, 3, 2, 7, 9, 10, 4, 8]",2,2,1,1.516819953918457
FED_20161227a_3T2,2,y,4,2,4,40.012259006500244,44.52948188781738,Hard,"[3, 6, 9, 4, 10, 8, 1, 12]","[4, 10, 7, 5, 9, 8, 3, 6]",2,2,1,1.4168951511383057
FED_20161227a_3T2,2,y,4,2,5,48.0132520198822,52.530566930770874,Easy,"[3, 4, 12, 9]","[4, 7, 3, 12]",2,2,1,1.2001399993896484
FED_20161227a_3T2,2,y,4,2,6,56.01432800292969,60.531590938568115,Easy,"[11, 9, 1, 6]","[1, 6, 11, 7]",1,1,1,0.7500619888305664
FED_20161227a_3T2,2,y,4,2,7,64.01537680625916,68.53259682655334,Easy,"[8, 5, 10, 11]","[5, 11, 8, 4]",1,1,1,1.183528184890747
FED_20161227a_3T2,2,y,4,2,8,72.01637697219849,76.51698899269104,Easy,"[9, 10, 8, 6]","[12, 10, 8, 9]",2,1,0,1.866905927658081
FED_20161227a_3T2,2,y,4,2,9,80.00076103210449,84.51804900169373,Easy,"[3, 8, 10, 11]","[8, 6, 10, 3]",2,2,1,0.8834090232849121
FED_20161227a_3T2,2,y,4,2,10,88.00182890892029,92.51904892921448,Easy,"[6, 2, 12, 11]","[6, 2, 11, 8]",1,1,1,0.9334850311279297
FED_20161227a_3T2,2,y,4,2,11,96.00288891792297,100.52010583877563,Easy,"[11, 12, 4, 6]","[4, 11, 12, 2]",2,2,1,1.4167430400848389
FED_20161227a_3T2,2,y,4,2,12,104.00391292572021,108.52109885215759,Easy,"[4, 10, 8, 11]","[12, 10, 4, 8]",2,2,1,0.9668309688568115
FED_20161227a_3T2,2,y,4,2,13,112.00489401817322,116.52216601371765,Hard,"[5, 8, 1, 12, 6, 10, 9, 2]","[12, 8, 10, 2, 9, 1, 11, 4]",1,1,1,1.0001599788665771
FED_20161227a_3T2,2,y,4,2,14,120.00597500801086,124.52322292327881,Hard,"[9, 7, 6, 12, 8, 5, 11, 10]","[12, 9, 7, 8, 11, 10, 1, 4]",1,1,1,0.7334489822387695
FED_20161227a_3T2,2,y,4,2,15,128.00701093673706,132.52431893348694,Hard,"[4, 6, 11, 7, 12, 3, 8, 2]","[6, 2, 12, 7, 11, 8, 4, 1]",1,2,0,1.416830062866211
FED_20161227a_3T2,2,y,4,2,16,136.00805687904358,140.52537083625793,Hard,"[4, 8, 6, 3, 12, 11, 7, 5]","[8, 7, 4, 2, 3, 6, 11, 12]",2,2,1,0.9834311008453369
FED_20161227a_3T2,2,y,4,2,17,160.0111858844757,164.52849292755127,Easy,"[1, 6, 5, 4]","[1, 6, 10, 5]",2,2,1,1.2501070499420166
FED_20161227a_3T2,2,y,4,2,18,168.0122468471527,172.52945399284363,Easy,"[5, 12, 7, 4]","[5, 12, 7, 9]",1,1,1,1.0667510032653809
FED_20161227a_3T2,2,y,4,2,19,176.0131459236145,180.53052186965942,Easy,"[3, 9, 8, 2]","[5, 8, 9, 3]",2,2,1,1.3168261051177979
FED_20161227a_3T2,2,y,4,2,20,184.0143039226532,188.5315899848938,Easy,"[11, 12, 3, 6]","[12, 1, 3, 11]",2,2,1,1.4668300151824951
FED_20161227a_3T2,2,y,4,2,21,192.01536583900452,196.53258395195007,Hard,"[6, 8, 7, 11, 4, 2, 5, 12]","[8, 2, 4, 1, 6, 5, 7, 11]",2,2,1,1.3835010528564453
FED_20161227a_3T2,2,y,4,2,22,200.01636290550232,204.51700401306152,Hard,"[12, 8, 6, 7, 5, 2, 1, 3]","[7, 8, 5, 3, 12, 6, 11, 4]",1,1,1,1.8335399627685547
FED_20161227a_3T2,2,y,4,2,23,208.00075602531433,212.5180368423462,Hard,"[10, 7, 6, 8, 3, 5, 12, 1]","[1, 12, 10, 6, 7, 5, 9, 4]",1,2,0,1.7502260208129883
FED_20161227a_3T2,2,y,4,2,24,216.00183296203613,220.5190348625183,Hard,"[1, 6, 7, 8, 4, 3, 10, 11]","[10, 2, 8, 4, 7, 1, 6, 3]",2,1,0,1.8336069583892822
FED_20161227a_3T2,2,y,4,2,25,224.00274682044983,228.52011895179749,Hard,"[1, 2, 7, 10, 11, 6, 8, 12]","[1, 8, 11, 12, 10, 6, 2, 4]",1,1,1,0.9334149360656738
FED_20161227a_3T2,2,y,4,2,26,232.0038459300995,236.52118396759033,Hard,"[5, 4, 6, 7, 9, 8, 1, 2]","[6, 12, 9, 7, 4, 8, 5, 3]",2,2,1,0.9334158897399902
FED_20161227a_3T2,2,y,4,2,27,240.00497484207153,244.52207803726196,Hard,"[5, 8, 3, 9, 10, 2, 7, 4]","[2, 8, 3, 10, 9, 5, 11, 12]",2,1,0,1.7002887725830078
FED_20161227a_3T2,2,y,4,2,28,248.0058159828186,252.52321481704712,Hard,"[10, 12, 7, 11, 2, 6, 3, 8]","[12, 11, 8, 2, 3, 6, 7, 1]",1,2,0,1.9669201374053955
FED_20161227a_3T2,2,y,4,2,29,256.0069649219513,260.5242748260498,Easy,"[6, 8, 11, 7]","[6, 11, 8, 5]",1,1,1,0.9834051132202148
FED_20161227a_3T2,2,y,4,2,30,264.00804901123047,268.5252778530121,Easy,"[1, 3, 9, 11]","[3, 11, 1, 5]",1,1,1,0.7501251697540283
FED_20161227a_3T2,2,y,4,2,31,272.0090608596802,276.5430119037628,Easy,"[5, 11, 7, 10]","[5, 11, 7, 12]",2,1,0,1.8169119358062744
FED_20161227a_3T2,2,y,4,2,32,280.0101099014282,284.5273869037628,Easy,"[8, 12, 3, 10]","[12, 8, 3, 5]",2,2,1,1.3335049152374268
FED_20161227a_3T2,2,y,4,2,33,304.0132358074188,308.53045082092285,Hard,"[4, 2, 10, 6, 7, 8, 5, 1]","[8, 7, 10, 4, 2, 6, 3, 11]",2,2,1,1.466912031173706
FED_20161227a_3T2,2,y,4,2,34,312.0143029689789,316.53151202201843,Hard,"[4, 5, 3, 9, 11, 7, 10, 8]","[3, 9, 7, 5, 10, 6, 11, 4]",2,2,1,1.1501359939575195
FED_20161227a_3T2,2,y,4,2,35,320.01529693603516,324.5325770378113,Hard,"[7, 6, 12, 9, 1, 8, 2, 5]","[12, 6, 1, 7, 8, 2, 10, 9]",2,2,1,1.6335358619689941
FED_20161227a_3T2,2,y,4,2,36,328.0163588523865,332.51693391799927,Hard,"[10, 12, 11, 6, 7, 8, 9, 4]","[11, 9, 7, 12, 6, 10, 4, 5]",1,1,1,1.5501909255981445
FED_20161227a_3T2,2,y,4,2,37,336.00062704086304,340.5179970264435,Easy,"[3, 5, 7, 8]","[2, 7, 3, 5]",2,2,1,1.2167699337005615
