Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161228b_3T2,2,C,13,0,0.000463653999759117,2,2.00217294899994,Patient,0,active,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_13.jpg,Patient_active_13.jpg
2,FED_20161228b_3T2,2,C,44,2,2.00331683199965,2,1.99925169000016,Patient,0,active,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_44.jpg,Patient_active_44.jpg
3,FED_20161228b_3T2,2,C,26,4,4.00315667999985,2,1.99927143600053,Agent,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Agent_passive_26.jpg
,FED_20161228b_3T2,2,C,NA,6,6.00303811899994,2,2.00021968100009,0,NA,,NA,NA,NA,NA,NA,,
4,FED_20161228b_3T2,2,C,59,8,8.00399586099957,2,1.99995879000016,Patient,1,passive,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_59.jpg,Patient_passive_59.jpg
5,FED_20161228b_3T2,2,C,36,10,10.0045734140003,2,1.99956680499963,Patient,1,passive,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_36.jpg,Patient_passive_36.jpg
,FED_20161228b_3T2,2,C,NA,12,12.0047255930003,4,3.99821493599939,0,NA,,NA,NA,NA,NA,NA,,
6,FED_20161228b_3T2,2,C,37,16,16.0036794179996,2,1.99960832800025,Agent,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Agent_active_37.jpg
7,FED_20161228b_3T2,2,C,32,18,18.0038760810003,2,1.99803560300006,Patient,1,passive,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_32.jpg,Patient_passive_32.jpg
,FED_20161228b_3T2,2,C,NA,20,20.0025136840004,2,1.99886565899942,0,NA,,NA,NA,NA,NA,NA,,
8,FED_20161228b_3T2,2,C,45,22,22.001999096,2,2.00084077799966,Patient,1,passive,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_45.jpg,Patient_passive_45.jpg
9,FED_20161228b_3T2,2,C,43,24,24.0034150840002,2,2.00074249999943,Patient,0,active,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square,Base_active_43.jpg,Patient_active_43.jpg
10,FED_20161228b_3T2,2,C,35,26,26.0048015499997,2,1.99880053200013,Patient,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Patient_active_35.jpg
11,FED_20161228b_3T2,2,C,20,28,28.0043134670004,2,1.99774497999988,Patient,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Patient_passive_20.jpg
12,FED_20161228b_3T2,2,C,48,30,30.0026583010003,2,1.99934252399999,Agent,0,active,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star,Base_active_48.jpg,Agent_active_48.jpg
13,FED_20161228b_3T2,2,C,39,32,32.0028887119997,2,2.00007364800058,Agent,0,active,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval,Base_active_39.jpg,Agent_active_39.jpg
,FED_20161228b_3T2,2,C,NA,34,34.0035789789999,2,1.99954771500052,0,NA,,NA,NA,NA,NA,NA,,
14,FED_20161228b_3T2,2,C,25,36,36.0037496940004,2,1.99994103599965,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg
,FED_20161228b_3T2,2,C,NA,38,38.0044563680003,2,1.99767084299947,0,NA,,NA,NA,NA,NA,NA,,
15,FED_20161228b_3T2,2,C,27,40,40.002721543,2,1.99989894200007,Agent,1,passive,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_27.jpg,Agent_passive_27.jpg
16,FED_20161228b_3T2,2,C,53,42,42.0032166350002,2,1.99880018400017,Agent,1,passive,Lily Triangle is being rolled by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_53.jpg,Agent_passive_53.jpg
,FED_20161228b_3T2,2,C,NA,44,44.0025410970002,2,2.00070793800023,0,NA,,NA,NA,NA,NA,NA,,
17,FED_20161228b_3T2,2,C,55,46,46.0040550960002,2,1.99923533899982,Agent,1,passive,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_55.jpg,Agent_passive_55.jpg
18,FED_20161228b_3T2,2,C,13,48,48.0041858940003,2,2.00048987299942,Agent,0,active,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_13.jpg,Agent_active_13.jpg
,FED_20161228b_3T2,2,C,NA,50,50.0053905699997,4,3.99722311599999,0,NA,,NA,NA,NA,NA,NA,,
19,FED_20161228b_3T2,2,C,37,54,54.0033363729999,2,1.99983843599966,Patient,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Patient_active_37.jpg
20,FED_20161228b_3T2,2,C,21,56,56.004073733,2,1.99990136700035,Patient,1,passive,Melissa Oval is being bounced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_21.jpg,Patient_passive_21.jpg
21,FED_20161228b_3T2,2,C,28,58,58.0046605970001,2,1.99862656699952,Patient,0,active,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_28.jpg,Patient_active_28.jpg
22,FED_20161228b_3T2,2,C,18,60,60.0041131300004,2,1.99799012999938,Agent,0,active,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_18.jpg,Agent_active_18.jpg
23,FED_20161228b_3T2,2,C,17,62,62.0026778689999,2,1.9993294800006,Agent,0,active,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star,Base_active_17.jpg,Agent_active_17.jpg
,FED_20161228b_3T2,2,C,NA,64,64.0026834930004,2,1.99874338299924,0,NA,,NA,NA,NA,NA,NA,,
24,FED_20161228b_3T2,2,C,54,66,66.0020805189997,2,2.00124434400004,Agent,1,passive,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_54.jpg,Agent_passive_54.jpg
25,FED_20161228b_3T2,2,C,23,68,68.003901047,2,1.99820291600008,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg
26,FED_20161228b_3T2,2,C,58,70,70.0027053969998,2,2.00047745600023,Patient,1,passive,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_58.jpg,Patient_passive_58.jpg
27,FED_20161228b_3T2,2,C,56,72,72.0037781669998,2,1.99868688400056,Agent,0,active,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_56.jpg,Agent_active_56.jpg
,FED_20161228b_3T2,2,C,NA,74,74.0030520660002,2,1.99964938499943,0,NA,,NA,NA,NA,NA,NA,,
28,FED_20161228b_3T2,2,C,1,76,76.0032660090001,2,1.99988567699984,Patient,0,active,Kyle Square is stopping Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_1.jpg,Patient_active_1.jpg
29,FED_20161228b_3T2,2,C,19,78,78.0037216930004,2,1.99837945099989,Patient,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Patient_passive_19.jpg
30,FED_20161228b_3T2,2,C,47,80,80.0027068939999,2,2.00075078400005,Agent,0,active,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_47.jpg,Agent_active_47.jpg
,FED_20161228b_3T2,2,C,NA,82,82.0040367640004,2,1.99891318499976,0,NA,,NA,NA,NA,NA,NA,,
31,FED_20161228b_3T2,2,C,41,84,84.0035410720002,2,1.99840509000023,Agent,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Agent_active_41.jpg
