file,manner,path,agent,itemset,blocktype,blocknum, trialnum
halfrotate_underfar_4.mp4,halfrotate,underfar,4,X,M,1, 1
halfrotate_behind_7.mp4,halfrotate,behind,7,X,M,1, 2
halfrotate_past_5.mp4,halfrotate,past,5,X,M,1, 3
halfrotate_under_6.mp4,halfrotate,under,6,X,M,1, 4
sine_tofar_3.mp4,sine,tofar,3,W,P,2, 5
wheelie_tofar_1.mp4,wheelie,tofar,1,W,P,2, 6
rotate_tofar_2.mp4,rotate,tofar,2,W,P,2, 7
rock_tofar_8.mp4,rock,tofar,8,W,P,2, 8
stopstart_under_7.mp4,stopstart,under,7,X,A,3, 9
halfrotate_underfar_7.mp4,halfrotate,underfar,7,X,A,3, 10
bounce_past_7.mp4,bounce,past,7,X,A,3, 11
vibrate_behind_7.mp4,vibrate,behind,7,X,A,3, 12
rock_onto_8.mp4,rock,onto,8,W,D,4, 13
sine_to_1.mp4,sine,to,1,W,D,4, 14
wheelie_tofar_2.mp4,wheelie,tofar,2,W,D,4, 15
rotate_circle_3.mp4,rotate,circle,3,W,D,4, 16
none_control7_5.mp4,none,control7,5,Z,C,5, 17
none_control8_4.mp4,none,control8,4,Z,C,5, 18
none_control5_6.mp4,none,control5,6,Z,C,5, 19
none_control6_7.mp4,none,control6,7,Z,C,5, 20
rotate_onto_2.mp4,rotate,onto,2,W,S,6, 21
rotate_onto_2.mp4,rotate,onto,2,W,S,6, 22
rotate_onto_2.mp4,rotate,onto,2,W,S,6, 23
rotate_onto_2.mp4,rotate,onto,2,W,S,6, 24
bounce_behind_5.mp4,bounce,behind,5,X,S,7, 25
bounce_behind_5.mp4,bounce,behind,5,X,S,7, 26
bounce_behind_5.mp4,bounce,behind,5,X,S,7, 27
bounce_behind_5.mp4,bounce,behind,5,X,S,7, 28
none_control4_3.mp4,none,control4,3,Y,C,8, 29
none_control1_8.mp4,none,control1,8,Y,C,8, 30
none_control2_1.mp4,none,control2,1,Y,C,8, 31
none_control3_2.mp4,none,control3,2,Y,C,8, 32
bounce_past_5.mp4,bounce,past,5,X,D,9, 33
stopstart_under_4.mp4,stopstart,under,4,X,D,9, 34
halfrotate_behind_6.mp4,halfrotate,behind,6,X,D,9, 35
vibrate_underfar_7.mp4,vibrate,underfar,7,X,D,9, 36
sine_onto_3.mp4,sine,onto,3,W,A,10, 37
rock_circle_3.mp4,rock,circle,3,W,A,10, 38
wheelie_to_3.mp4,wheelie,to,3,W,A,10, 39
rotate_tofar_3.mp4,rotate,tofar,3,W,A,10, 40
halfrotate_past_7.mp4,halfrotate,past,7,X,P,11, 41
bounce_past_4.mp4,bounce,past,4,X,P,11, 42
vibrate_past_5.mp4,vibrate,past,5,X,P,11, 43
stopstart_past_6.mp4,stopstart,past,6,X,P,11, 44
sine_to_3.mp4,sine,to,3,W,M,12, 45
sine_circle_2.mp4,sine,circle,2,W,M,12, 46
sine_onto_1.mp4,sine,onto,1,W,M,12, 47
sine_tofar_8.mp4,sine,tofar,8,W,M,12, 48
