trial_type,measured_onset,perfect_onset,trialnum
fix,28860.755520,28870.255520, 
realTrial,28880.040876,28876.755520, 1
realTrial,28883.604319,28883.255520, 2
realTrial,28889.901486,28889.755520, 3
realTrial,28896.385541,28896.255520, 4
realTrial,28902.892351,28902.755520, 5
realTrial,28909.386032,28909.255520, 6
realTrial,28915.885490,28915.755520, 7
realTrial,28922.385931,28922.255520, 8
realTrial,28928.885476,28928.755520, 9
realTrial,28935.389257,28935.255520, 10
realTrial,28941.885341,28941.755520, 11
realTrial,28948.386127,28948.255520, 12
realTrial,28954.891025,28954.755520, 13
realTrial,28961.384994,28961.255520, 14
realTrial,28967.894426,28967.755520, 15
realTrial,28974.393400,28974.255520, 16
realTrial,28980.886512,28980.755520, 17
realTrial,28987.389751,28987.255520, 18
realTrial,28993.893337,28993.755520, 19
realTrial,29000.386358,29000.255520, 20
realTrial,29006.885313,29006.755520, 21
realTrial,29013.387515,29013.255520, 22
realTrial,29019.889820,29019.755520, 23
realTrial,29026.384909,29026.255520, 24
fix,29032.756202,29032.755520, 
realTrial,29048.975178,29048.755520, 25
realTrial,29055.399654,29055.255520, 26
realTrial,29061.885491,29061.755520, 27
realTrial,29068.385315,29068.255520, 28
realTrial,29074.887341,29074.755520, 29
realTrial,29081.385567,29081.255520, 30
realTrial,29087.885573,29087.755520, 31
realTrial,29094.385288,29094.255520, 32
realTrial,29100.889575,29100.755520, 33
realTrial,29107.385673,29107.255520, 34
realTrial,29113.894011,29113.755520, 35
realTrial,29120.390622,29120.255520, 36
realTrial,29126.887315,29126.755520, 37
realTrial,29133.386073,29133.255520, 38
realTrial,29139.893961,29139.755520, 39
realTrial,29146.385380,29146.255520, 40
realTrial,29152.887827,29152.755520, 41
realTrial,29159.386617,29159.255520, 42
realTrial,29165.885601,29165.755520, 43
realTrial,29172.385796,29172.255520, 44
realTrial,29178.887559,29178.755520, 45
realTrial,29185.385660,29185.255520, 46
realTrial,29191.885639,29191.755520, 47
realTrial,29198.385987,29198.255520, 48
fix,29204.755911,29204.755520, 
