file,manner,path,agent,itemset,blocktype,blocknum, trialnum
bounce_past_7.mp4,bounce,past,7,X,P,1, 1
vibrate_past_4.mp4,vibrate,past,4,X,P,1, 2
stopstart_past_5.mp4,stopstart,past,5,X,P,1, 3
halfrotate_past_6.mp4,halfrotate,past,6,X,P,1, 4
rotate_to_2.mp4,rotate,to,2,W,A,2, 5
rock_tofar_2.mp4,rock,tofar,2,W,A,2, 6
sine_circle_2.mp4,sine,circle,2,W,A,2, 7
wheelie_onto_2.mp4,wheelie,onto,2,W,A,2, 8
halfrotate_behind_4.mp4,halfrotate,behind,4,X,D,3, 9
stopstart_underfar_5.mp4,stopstart,underfar,5,X,D,3, 10
bounce_past_6.mp4,bounce,past,6,X,D,3, 11
vibrate_under_7.mp4,vibrate,under,7,X,D,3, 12
none_control4_3.mp4,none,control4,3,Y,C,4, 13
none_control3_8.mp4,none,control3,8,Y,C,4, 14
none_control1_1.mp4,none,control1,1,Y,C,4, 15
none_control2_2.mp4,none,control2,2,Y,C,4, 16
stopstart_behind_5.mp4,stopstart,behind,5,X,S,5, 17
stopstart_behind_5.mp4,stopstart,behind,5,X,S,5, 18
stopstart_behind_5.mp4,stopstart,behind,5,X,S,5, 19
stopstart_behind_5.mp4,stopstart,behind,5,X,S,5, 20
wheelie_circle_8.mp4,wheelie,circle,8,W,M,6, 21
wheelie_to_1.mp4,wheelie,to,1,W,M,6, 22
wheelie_tofar_2.mp4,wheelie,tofar,2,W,M,6, 23
wheelie_onto_3.mp4,wheelie,onto,3,W,M,6, 24
bounce_underfar_5.mp4,bounce,underfar,5,X,M,7, 25
bounce_past_4.mp4,bounce,past,4,X,M,7, 26
bounce_under_6.mp4,bounce,under,6,X,M,7, 27
bounce_behind_7.mp4,bounce,behind,7,X,M,7, 28
sine_onto_1.mp4,sine,onto,1,W,S,8, 29
sine_onto_1.mp4,sine,onto,1,W,S,8, 30
sine_onto_1.mp4,sine,onto,1,W,S,8, 31
sine_onto_1.mp4,sine,onto,1,W,S,8, 32
none_control5_5.mp4,none,control5,5,Z,C,9, 33
none_control7_6.mp4,none,control7,6,Z,C,9, 34
none_control8_4.mp4,none,control8,4,Z,C,9, 35
none_control6_7.mp4,none,control6,7,Z,C,9, 36
wheelie_to_3.mp4,wheelie,to,3,W,D,10, 37
rotate_tofar_8.mp4,rotate,tofar,8,W,D,10, 38
rock_circle_1.mp4,rock,circle,1,W,D,10, 39
sine_onto_2.mp4,sine,onto,2,W,D,10, 40
vibrate_behind_6.mp4,vibrate,behind,6,X,A,11, 41
bounce_underfar_6.mp4,bounce,underfar,6,X,A,11, 42
stopstart_past_6.mp4,stopstart,past,6,X,A,11, 43
halfrotate_under_6.mp4,halfrotate,under,6,X,A,11, 44
sine_tofar_2.mp4,sine,tofar,2,W,P,12, 45
wheelie_tofar_3.mp4,wheelie,tofar,3,W,P,12, 46
rotate_tofar_1.mp4,rotate,tofar,1,W,P,12, 47
rock_tofar_8.mp4,rock,tofar,8,W,P,12, 48
