Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
,FED_20161228b_3T2,1,D,NA,68,68.0034115750004,2,1.99827468100011,0,NA,,NA,NA,NA,NA,NA,,
25,FED_20161228b_3T2,1,D,13,70,70.0022996820007,2,2.00036297199949,Patient,1,passive,Lily Triangle is being balanced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_13.jpg,Patient_passive_13.jpg
,FED_20161228b_3T2,1,D,NA,72,72.0032497200009,2,1.99914429199998,0,NA,,NA,NA,NA,NA,NA,,
26,FED_20161228b_3T2,1,D,35,74,74.0029582670013,2,1.99974536199989,Agent,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Agent_active_35.jpg
27,FED_20161228b_3T2,1,D,30,76,76.0032597980007,2,1.99970934500016,Agent,1,passive,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_30.jpg,Agent_passive_30.jpg
28,FED_20161228b_3T2,1,D,48,78,78.0036707500003,2,1.99968735400034,Agent,0,active,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star,Base_active_48.jpg,Agent_active_48.jpg
29,FED_20161228b_3T2,1,D,24,80,80.0039727390013,2,1.99853755999902,Agent,0,active,Lily Triangle is rolling Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_24.jpg,Agent_active_24.jpg
30,FED_20161228b_3T2,1,D,14,82,82.0030477710006,2,2.00013215500076,Patient,0,active,Kyle Square is balancing Zach Star.,Kyle,Square,Zach,Star,Base_active_14.jpg,Patient_active_14.jpg
,FED_20161228b_3T2,1,D,NA,84,84.0037976880012,2,1.99848102499891,0,NA,,NA,NA,NA,NA,NA,,
31,FED_20161228b_3T2,1,D,57,86,86.002990807001,2,1.99898389699956,Patient,1,passive,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_57.jpg,Patient_passive_57.jpg
,FED_20161228b_3T2,1,D,NA,88,88.0025751490011,2,1.9989953739987,0,NA,,NA,NA,NA,NA,NA,,
32,FED_20161228b_3T2,1,D,6,90,90.002203348,2,2.00032853000084,Patient,1,passive,Melissa Oval is being bounced by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_6.jpg,Patient_passive_6.jpg
33,FED_20161228b_3T2,1,D,50,92,92.0031401249998,2,1.99983490000159,Patient,1,passive,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_50.jpg,Patient_passive_50.jpg
34,FED_20161228b_3T2,1,D,41,94,94.0035741629999,2,1.99983990100009,Patient,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Patient_passive_41.jpg
35,FED_20161228b_3T2,1,D,3,96,96.0039431519999,2,1.99866151700007,Patient,1,passive,Melissa Oval is being stopped by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_3.jpg,Patient_passive_3.jpg
36,FED_20161228b_3T2,1,D,37,98,98.003218242,2,1.99899170000026,Patient,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Patient_passive_37.jpg
,FED_20161228b_3T2,1,D,NA,100,100.002798691001,4,3.99966078899888,0,NA,,NA,NA,NA,NA,NA,,
37,FED_20161228b_3T2,1,D,22,104,104.003077633,2,1.99963638500049,Patient,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Patient_active_22.jpg
,FED_20161228b_3T2,1,D,NA,106,106.003316458,2,1.99831146799988,0,NA,,NA,NA,NA,NA,NA,,
38,FED_20161228b_3T2,1,D,52,108,108.002303534,2,2.00042282300092,Patient,0,active,Melissa Oval is rolling Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_52.jpg,Patient_active_52.jpg
39,FED_20161228b_3T2,1,D,1,110,110.00331808,2,1.99851045200012,Patient,1,passive,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_1.jpg,Patient_passive_1.jpg
40,FED_20161228b_3T2,1,D,23,112,112.002504166001,2,2.00035431799915,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg
41,FED_20161228b_3T2,1,D,11,114,114.003459403,2,1.9983542480004,Agent,0,active,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star,Base_active_11.jpg,Agent_active_11.jpg
,FED_20161228b_3T2,1,D,NA,116,116.002484509001,2,1.99959564500023,0,NA,,NA,NA,NA,NA,NA,,
42,FED_20161228b_3T2,1,D,28,118,118.002733023,2,1.99909589100025,Patient,0,active,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_28.jpg,Patient_active_28.jpg
43,FED_20161228b_3T2,1,D,29,120,120.002348242,2,2.00037642000098,Patient,0,active,Lily Triangle is balancing Zach Star.,Lily,Triangle,Zach,Star,Base_active_29.jpg,Patient_active_29.jpg
44,FED_20161228b_3T2,1,D,23,122,122.003383736001,2,1.99832353599959,Patient,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Patient_passive_23.jpg
,FED_20161228b_3T2,1,D,NA,124,124.002227979001,2,1.99927349300015,0,NA,,NA,NA,NA,NA,NA,,
45,FED_20161228b_3T2,1,D,39,126,126.002030675001,2,2.00135554699955,Agent,1,passive,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_39.jpg,Agent_passive_39.jpg
46,FED_20161228b_3T2,1,D,17,128,128.003952471001,2,1.99936190799963,Agent,0,active,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star,Base_active_17.jpg,Agent_active_17.jpg
,FED_20161228b_3T2,1,D,NA,130,130.003878666001,2,1.99855585300065,0,NA,,NA,NA,NA,NA,NA,,
47,FED_20161228b_3T2,1,D,53,132,132.003032930001,2,1.99976965099995,Agent,1,passive,Lily Triangle is being rolled by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_53.jpg,Agent_passive_53.jpg
48,FED_20161228b_3T2,1,D,3,134,134.003470438001,2,1.9990718809986,Agent,1,passive,Melissa Oval is being stopped by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_3.jpg,Agent_passive_3.jpg
49,FED_20161228b_3T2,1,D,43,136,136.003118855,2,1.99863536399971,Agent,1,passive,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_43.jpg,Agent_passive_43.jpg
50,FED_20161228b_3T2,1,D,58,138,138.002280974,2,2.00027745400075,Patient,1,passive,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_58.jpg,Patient_passive_58.jpg
51,FED_20161228b_3T2,1,D,26,140,140.003178878,2,1.99989389900111,Patient,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Patient_active_26.jpg
52,FED_20161228b_3T2,1,D,52,142,142.003708719001,2,1.99888766799995,Agent,0,active,Melissa Oval is rolling Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_52.jpg,Agent_active_52.jpg
,FED_20161228b_3T2,1,D,NA,144,144.003218861,4,3.99974731899965,0,NA,,NA,NA,NA,NA,NA,,
53,FED_20161228b_3T2,1,D,32,148,148.003643135,2,1.99857779200102,Agent,1,passive,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_32.jpg,Agent_passive_32.jpg
,FED_20161228b_3T2,1,D,NA,150,150.002744611,2,1.99895028600076,0,NA,,NA,NA,NA,NA,NA,,
54,FED_20161228b_3T2,1,D,49,152,152.002236261,2,2.00042904600014,Patient,0,active,Melissa Oval is bouncing Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_49.jpg,Patient_active_49.jpg
55,FED_20161228b_3T2,1,D,20,154,154.003177643001,2,1.99959501100057,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg
,FED_20161228b_3T2,1,D,NA,156,156.003296604,2,1.99799907099987,0,NA,,NA,NA,NA,NA,NA,,
56,FED_20161228b_3T2,1,D,49,158,158.001834306,2,2.00067006599966,Agent,0,active,Melissa Oval is bouncing Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_49.jpg,Agent_active_49.jpg
57,FED_20161228b_3T2,1,D,40,160,160.003025043001,2,1.99928287699913,Agent,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Agent_active_40.jpg
58,FED_20161228b_3T2,1,D,16,162,162.002829788,2,2.00018159400133,Agent,1,passive,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_16.jpg,Agent_passive_16.jpg
,FED_20161228b_3T2,1,D,NA,164,164.003535301001,4,3.99845860099958,0,NA,,NA,NA,NA,NA,NA,,
59,FED_20161228b_3T2,1,D,32,168,168.002564665001,2,1.9997746680001,Patient,1,passive,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_32.jpg,Patient_passive_32.jpg
,FED_20161228b_3T2,1,D,NA,170,170.002862931,2,1.99934272800056,0,NA,,NA,NA,NA,NA,NA,,
60,FED_20161228b_3T2,1,D,43,172,172.002745976,2,1.99991498700001,Patient,1,passive,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_43.jpg,Patient_passive_43.jpg
61,FED_20161228b_3T2,1,D,21,174,174.003184748,2,1.99922565700035,Agent,1,passive,Melissa Oval is being bounced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_21.jpg,Agent_passive_21.jpg
,FED_20161228b_3T2,1,D,NA,176,176.002941815001,4,4.00148967099994,0,NA,,NA,NA,NA,NA,NA,,
62,FED_20161228b_3T2,1,D,20,180,180.005273435001,2,1.99786266099909,Agent,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Agent_active_20.jpg
63,FED_20161228b_3T2,1,D,17,182,182.003656714001,2,1.99838762299987,Patient,0,active,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star,Base_active_17.jpg,Patient_active_17.jpg
64,FED_20161228b_3T2,1,D,2,184,184.002564987,2,1.99951223500102,Patient,1,passive,Zach Star is being stopped by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_2.jpg,Patient_passive_2.jpg
65,FED_20161228b_3T2,1,D,14,186,186.002712376001,2,1.99985018299958,Agent,0,active,Kyle Square is balancing Zach Star.,Kyle,Square,Zach,Star,Base_active_14.jpg,Agent_active_14.jpg
66,FED_20161228b_3T2,1,D,28,188,188.00308681,2,1.99958633300048,Agent,0,active,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_28.jpg,Agent_active_28.jpg
