SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20161228a_3T2,2,y,4,1,1,16.00826096534729,20.52553701400757,Easy,"[11, 3, 10, 12]","[10, 11, 7, 3]",2,2,1,1.216742992401123
FED_20161228a_3T2,2,y,4,1,2,24.009280920028687,28.52653980255127,Easy,"[7, 8, 11, 1]","[11, 1, 8, 5]",1,1,1,1.2335000038146973
FED_20161228a_3T2,2,y,4,1,3,32.01029396057129,36.5275559425354,Easy,"[3, 12, 5, 10]","[1, 5, 12, 3]",2,2,1,1.4501910209655762
FED_20161228a_3T2,2,y,4,1,4,40.0113480091095,44.52856993675232,Easy,"[2, 3, 8, 7]","[8, 3, 2, 5]",1,1,1,1.533552885055542
FED_20161228a_3T2,2,y,4,1,5,48.01236391067505,52.54625201225281,Hard,"[10, 11, 1, 9, 2, 5, 7, 3]","[12, 1, 5, 10, 9, 8, 2, 11]",2,2,1,1.4335498809814453
FED_20161228a_3T2,2,y,4,1,6,56.013375997543335,60.53059792518616,Hard,"[11, 10, 7, 2, 3, 12, 8, 1]","[3, 2, 7, 11, 12, 9, 8, 10]",2,1,0,2.383647918701172
FED_20161228a_3T2,2,y,4,1,7,64.0143928527832,68.53167200088501,Hard,"[7, 8, 4, 5, 11, 6, 10, 12]","[10, 3, 11, 8, 7, 4, 5, 6]",2,2,1,1.2166337966918945
FED_20161228a_3T2,2,y,4,1,8,72.01542901992798,76.5326828956604,Hard,"[7, 11, 9, 12, 4, 5, 10, 2]","[4, 5, 8, 6, 11, 12, 7, 9]",2,2,1,1.1501240730285645
FED_20161228a_3T2,2,y,4,1,9,80.0164430141449,84.51701998710632,Hard,"[3, 5, 4, 9, 7, 8, 2, 11]","[8, 5, 4, 2, 1, 3, 7, 9]",2,2,1,1.4168288707733154
FED_20161228a_3T2,2,y,4,1,10,88.00067782402039,92.51800084114075,Hard,"[11, 4, 8, 7, 1, 10, 2, 9]","[11, 7, 1, 3, 4, 2, 10, 8]",2,2,1,1.316850185394287
FED_20161228a_3T2,2,y,4,1,11,96.00175786018372,100.51900887489319,Hard,"[7, 1, 6, 8, 10, 2, 5, 9]","[8, 9, 2, 1, 10, 7, 6, 4]",1,1,1,1.700214147567749
FED_20161228a_3T2,2,y,4,1,12,104.00280094146729,108.52002000808716,Hard,"[8, 6, 3, 10, 7, 5, 4, 11]","[6, 10, 8, 7, 11, 3, 12, 1]",1,1,1,0.9834799766540527
FED_20161228a_3T2,2,y,4,1,13,112.00380682945251,116.52101302146912,Easy,"[1, 3, 12, 11]","[1, 3, 4, 12]",2,2,1,1.2334959506988525
FED_20161228a_3T2,2,y,4,1,14,120.00481081008911,124.52205991744995,Easy,"[8, 9, 5, 11]","[8, 5, 7, 9]",2,2,1,1.3501451015472412
FED_20161228a_3T2,2,y,4,1,15,128.0058078765869,132.52305793762207,Easy,"[4, 6, 5, 3]","[6, 4, 7, 5]",2,2,1,1.1668200492858887
FED_20161228a_3T2,2,y,4,1,16,136.00671195983887,140.52409100532532,Easy,"[8, 4, 9, 7]","[4, 12, 9, 8]",2,2,1,0.9667279720306396
FED_20161228a_3T2,2,y,4,1,17,160.00984501838684,164.52705192565918,Hard,"[9, 2, 1, 4, 11, 10, 5, 3]","[3, 10, 11, 4, 1, 2, 8, 7]",1,2,0,1.9502370357513428
FED_20161228a_3T2,2,y,4,1,18,168.01086282730103,172.52808690071106,Hard,"[3, 5, 10, 11, 4, 8, 7, 1]","[4, 11, 1, 5, 10, 8, 3, 9]",1,1,1,1.6835739612579346
FED_20161228a_3T2,2,y,4,1,19,176.01189184188843,180.5291669368744,Hard,"[8, 2, 1, 4, 11, 7, 5, 9]","[8, 1, 7, 5, 2, 4, 3, 12]",1,1,1,1.6001770496368408
FED_20161228a_3T2,2,y,4,1,20,184.01293301582336,188.56350183486938,Hard,"[9, 4, 2, 8, 10, 12, 11, 5]","[4, 9, 2, 1, 10, 8, 3, 12]",2,2,1,1.1333801746368408
FED_20161228a_3T2,2,y,4,1,21,192.0139479637146,196.53116703033447,Easy,"[9, 4, 3, 7]","[4, 3, 2, 9]",2,2,1,1.0835318565368652
FED_20161228a_3T2,2,y,4,1,22,200.0149908065796,204.53225684165955,Easy,"[3, 1, 11, 10]","[11, 10, 3, 2]",1,1,1,1.383531093597412
FED_20161228a_3T2,2,y,4,1,23,208.0160689353943,212.53329491615295,Easy,"[5, 8, 7, 12]","[7, 10, 5, 8]",2,2,1,1.4168720245361328
FED_20161228a_3T2,2,y,4,1,24,216.0004289150238,220.51766991615295,Easy,"[2, 5, 12, 7]","[7, 2, 5, 4]",1,1,1,1.2834970951080322
