trial_type,measured_onset,perfect_onset,trialnum
fix,20965.877296,20975.377296, 
realTrial,20985.132999,20981.877296, 1
realTrial,20988.702050,20988.377296, 2
realTrial,20995.006089,20994.877296, 3
realTrial,21001.506828,21001.377296, 4
realTrial,21008.013449,21007.877296, 5
realTrial,21014.506545,21014.377296, 6
realTrial,21021.006085,21020.877296, 7
realTrial,21027.510055,21027.377296, 8
realTrial,21034.007035,21033.877296, 9
realTrial,21040.506983,21040.377296, 10
realTrial,21047.004822,21046.877296, 11
realTrial,21053.506053,21053.377296, 12
realTrial,21060.006431,21059.877296, 13
realTrial,21066.507148,21066.377296, 14
realTrial,21073.006376,21072.877296, 15
realTrial,21079.506544,21079.377296, 16
realTrial,21086.007172,21085.877296, 17
realTrial,21092.513852,21092.377296, 18
realTrial,21099.005478,21098.877296, 19
realTrial,21105.506547,21105.377296, 20
realTrial,21112.014330,21111.877296, 21
realTrial,21118.506357,21118.377296, 22
realTrial,21125.006157,21124.877296, 23
realTrial,21131.506374,21131.377296, 24
fix,21137.877981,21137.877296, 
realTrial,21154.103067,21153.877296, 25
realTrial,21160.521997,21160.377296, 26
realTrial,21167.006184,21166.877296, 27
realTrial,21173.506961,21173.377296, 28
realTrial,21180.006832,21179.877296, 29
realTrial,21186.505517,21186.377296, 30
realTrial,21193.006178,21192.877296, 31
realTrial,21199.514245,21199.377296, 32
realTrial,21206.010639,21205.877296, 33
realTrial,21212.514449,21212.377296, 34
realTrial,21219.006197,21218.877296, 35
realTrial,21225.506266,21225.377296, 36
realTrial,21232.008532,21231.877296, 37
realTrial,21238.505531,21238.377296, 38
realTrial,21245.006416,21244.877296, 39
realTrial,21251.505892,21251.377296, 40
realTrial,21258.008031,21257.877296, 41
realTrial,21264.506047,21264.377296, 42
realTrial,21271.007459,21270.877296, 43
realTrial,21277.506067,21277.377296, 44
realTrial,21284.009331,21283.877296, 45
realTrial,21290.514948,21290.377296, 46
realTrial,21297.005999,21296.877296, 47
realTrial,21303.506113,21303.377296, 48
fix,21309.877341,21309.877296, 
