trial_type,measured_onset,perfect_onset,trialnum
fix,22510.392134,22519.892134, 
realTrial,22526.683730,22526.392134, 1
realTrial,22533.021027,22532.892134, 2
realTrial,22539.522192,22539.392134, 3
realTrial,22546.030377,22545.892134, 4
realTrial,22552.522270,22552.392134, 5
realTrial,22559.022154,22558.892134, 6
realTrial,22565.522672,22565.392134, 7
realTrial,22572.020390,22571.892134, 8
realTrial,22578.522902,22578.392134, 9
realTrial,22585.029439,22584.892134, 10
realTrial,22591.522051,22591.392134, 11
realTrial,22598.020457,22597.892134, 12
realTrial,22604.523333,22604.392134, 13
realTrial,22611.021461,22610.892134, 14
realTrial,22617.522456,22617.392134, 15
realTrial,22624.021708,22623.892134, 16
realTrial,22630.524227,22630.392134, 17
realTrial,22637.021559,22636.892134, 18
realTrial,22643.522511,22643.392134, 19
realTrial,22650.021382,22649.892134, 20
realTrial,22656.527092,22656.392134, 21
realTrial,22663.021022,22662.892134, 22
realTrial,22669.530320,22669.392134, 23
realTrial,22676.022602,22675.892134, 24
fix,22682.392318,22682.392134, 
realTrial,22698.608177,22698.392134, 25
realTrial,22705.020446,22704.892134, 26
realTrial,22711.522474,22711.392134, 27
realTrial,22718.022649,22717.892134, 28
realTrial,22724.523613,22724.392134, 29
realTrial,22731.022265,22730.892134, 30
realTrial,22737.521767,22737.392134, 31
realTrial,22744.023247,22743.892134, 32
realTrial,22750.524637,22750.392134, 33
realTrial,22757.022145,22756.892134, 34
realTrial,22763.523367,22763.392134, 35
realTrial,22770.022505,22769.892134, 36
realTrial,22776.524109,22776.392134, 37
realTrial,22783.029989,22782.892134, 38
realTrial,22789.524859,22789.392134, 39
realTrial,22796.022193,22795.892134, 40
realTrial,22802.524302,22802.392134, 41
realTrial,22809.026981,22808.892134, 42
realTrial,22815.523410,22815.392134, 43
realTrial,22822.020999,22821.892134, 44
realTrial,22828.524520,22828.392134, 45
realTrial,22835.022116,22834.892134, 46
realTrial,22841.522448,22841.392134, 47
realTrial,22848.024642,22847.892134, 48
fix,22854.392508,22854.392134, 
