trial_type,measured_onset,perfect_onset,trialnum
fix,5040.083118,5049.583118, 
realTrial,5056.566023,5056.083118, 1
realTrial,5062.785481,5062.583118, 2
realTrial,5069.211956,5069.083118, 3
realTrial,5075.712033,5075.583118, 4
realTrial,5082.211624,5082.083118, 5
realTrial,5088.711210,5088.583118, 6
realTrial,5095.211403,5095.083118, 7
realTrial,5101.711395,5101.583118, 8
realTrial,5108.218459,5108.083118, 9
realTrial,5114.719601,5114.583118, 10
realTrial,5121.211265,5121.083118, 11
realTrial,5127.714381,5127.583118, 12
realTrial,5134.212220,5134.083118, 13
realTrial,5140.717315,5140.583118, 14
realTrial,5147.210165,5147.083118, 15
realTrial,5153.719413,5153.583118, 16
realTrial,5160.214398,5160.083118, 17
realTrial,5166.712107,5166.583118, 18
realTrial,5173.218672,5173.083118, 19
realTrial,5179.711429,5179.583118, 20
realTrial,5186.220594,5186.083118, 21
realTrial,5192.716924,5192.583118, 22
realTrial,5199.213830,5199.083118, 23
realTrial,5205.711298,5205.583118, 24
fix,5212.083286,5212.083118, 
realTrial,5228.315158,5228.083118, 25
realTrial,5234.726695,5234.583118, 26
realTrial,5241.215584,5241.083118, 27
realTrial,5247.711207,5247.583118, 28
realTrial,5254.212759,5254.083118, 29
realTrial,5260.710508,5260.583118, 30
realTrial,5267.211191,5267.083118, 31
realTrial,5273.715169,5273.583118, 32
realTrial,5280.217648,5280.083118, 33
realTrial,5286.720546,5286.583118, 34
realTrial,5293.214866,5293.083118, 35
realTrial,5299.719361,5299.583118, 36
realTrial,5306.215494,5306.083118, 37
realTrial,5312.716342,5312.583118, 38
realTrial,5319.212557,5319.083118, 39
realTrial,5325.711208,5325.583118, 40
realTrial,5332.212482,5332.083118, 41
realTrial,5338.711784,5338.583118, 42
realTrial,5345.211225,5345.083118, 43
realTrial,5351.710807,5351.583118, 44
realTrial,5358.213371,5358.083118, 45
realTrial,5364.711365,5364.583118, 46
realTrial,5371.219609,5371.083118, 47
realTrial,5377.710722,5377.583118, 48
fix,5384.083261,5384.083118, 
