trial_type,measured_onset,perfect_onset,trialnum
fix,21372.461732,21381.961732, 
realTrial,21388.933021,21388.461732, 1
realTrial,21395.192250,21394.961732, 2
realTrial,21401.592078,21401.461732, 3
realTrial,21408.090450,21407.961732, 4
realTrial,21414.591066,21414.461732, 5
realTrial,21421.089586,21420.961732, 6
realTrial,21427.590915,21427.461732, 7
realTrial,21434.091050,21433.961732, 8
realTrial,21440.597937,21440.461732, 9
realTrial,21447.090064,21446.961732, 10
realTrial,21453.591489,21453.461732, 11
realTrial,21460.090270,21459.961732, 12
realTrial,21466.597015,21466.461732, 13
realTrial,21473.090630,21472.961732, 14
realTrial,21479.590924,21479.461732, 15
realTrial,21486.091026,21485.961732, 16
realTrial,21492.592311,21492.461732, 17
realTrial,21499.091233,21498.961732, 18
realTrial,21505.590451,21505.461732, 19
realTrial,21512.090636,21511.961732, 20
realTrial,21518.593868,21518.461732, 21
realTrial,21525.089945,21524.961732, 22
realTrial,21531.595050,21531.461732, 23
realTrial,21538.089625,21537.961732, 24
fix,21544.461861,21544.461732, 
realTrial,21560.683428,21560.461732, 25
realTrial,21567.105290,21566.961732, 26
realTrial,21573.590408,21573.461732, 27
realTrial,21580.090447,21579.961732, 28
realTrial,21586.591803,21586.461732, 29
realTrial,21593.090374,21592.961732, 30
realTrial,21599.590323,21599.461732, 31
realTrial,21606.091073,21605.961732, 32
realTrial,21612.597012,21612.461732, 33
realTrial,21619.090984,21618.961732, 34
realTrial,21625.591100,21625.461732, 35
realTrial,21632.090552,21631.961732, 36
realTrial,21638.592532,21638.461732, 37
realTrial,21645.091308,21644.961732, 38
realTrial,21651.595204,21651.461732, 39
realTrial,21658.091377,21657.961732, 40
realTrial,21664.592218,21664.461732, 41
realTrial,21671.098056,21670.961732, 42
realTrial,21677.590794,21677.461732, 43
realTrial,21684.091302,21683.961732, 44
realTrial,21690.593826,21690.461732, 45
realTrial,21697.091484,21696.961732, 46
realTrial,21703.591641,21703.461732, 47
realTrial,21710.090447,21709.961732, 48
fix,21716.461989,21716.461732, 
