Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,FED_20161228b_3T2,2,E,35,0,0.000794223000411876,2,2.00161567800023,Patient,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Patient_passive_35.jpg
,FED_20161228b_3T2,2,E,NA,2,2.00296015700042,2,2.00007649799954,0,NA,,NA,NA,NA,NA,NA,,
2,FED_20161228b_3T2,2,E,46,4,4.00364505799917,2,1.99951974900068,Agent,0,active,Melissa Oval is stopping Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_46.jpg,Agent_active_46.jpg
3,FED_20161228b_3T2,2,E,31,6,6.00374980699962,2,1.99985104500047,Agent,0,active,Zach Star is stopping Kyle Square.,Zach,Star,Kyle,Square,Base_active_31.jpg,Agent_active_31.jpg
4,FED_20161228b_3T2,2,E,56,8,8.00415803900069,2,1.9995306969995,Agent,0,active,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_56.jpg,Agent_active_56.jpg
5,FED_20161228b_3T2,2,E,14,10,10.0042907210009,2,1.99868628699915,Patient,0,active,Kyle Square is balancing Zach Star.,Kyle,Square,Zach,Star,Base_active_14.jpg,Patient_active_14.jpg
6,FED_20161228b_3T2,2,E,41,12,12.0036098439996,2,2.00003815400123,Agent,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Agent_active_41.jpg
7,FED_20161228b_3T2,2,E,15,14,14.0042199870004,2,1.99880083099924,Agent,1,passive,Melissa Oval is being balanced by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_15.jpg,Agent_passive_15.jpg
,FED_20161228b_3T2,2,E,NA,16,16.0036484449993,2,1.9988343290006,0,NA,,NA,NA,NA,NA,NA,,
8,FED_20161228b_3T2,2,E,25,18,18.0033402520003,2,1.99870679599917,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg
,FED_20161228b_3T2,2,E,NA,20,20.0027056250001,2,1.99922885100023,0,NA,,NA,NA,NA,NA,NA,,
9,FED_20161228b_3T2,2,E,33,22,22.0026438980003,2,2.00058591500056,Patient,1,passive,Melissa Oval is being stopped by Zach Star.,Zach,Star,Melissa,Oval,Base_passive_33.jpg,Patient_passive_33.jpg
10,FED_20161228b_3T2,2,E,12,24,24.0038009180007,2,1.99901857799887,Agent,0,active,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_12.jpg,Agent_active_12.jpg
11,FED_20161228b_3T2,2,E,1,26,26.0034336919998,2,2.00045588800094,Patient,1,passive,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_1.jpg,Patient_passive_1.jpg
12,FED_20161228b_3T2,2,E,35,28,28.0044777540006,2,1.99877018699954,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg
,FED_20161228b_3T2,2,E,NA,30,30.0038201219995,4,3.99839812900063,0,NA,,NA,NA,NA,NA,NA,,
13,FED_20161228b_3T2,2,E,2,34,34.0029560019993,2,2.0021107270004,Patient,0,active,Kyle Square is stopping Zach Star.,Kyle,Square,Zach,Star,Base_active_2.jpg,Patient_active_2.jpg
,FED_20161228b_3T2,2,E,NA,36,36.0056505680004,2,1.99775991999923,0,NA,,NA,NA,NA,NA,NA,,
14,FED_20161228b_3T2,2,E,48,38,38.004053486,2,1.99869200800094,Agent,1,passive,Zach Star is being stopped by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_48.jpg,Agent_passive_48.jpg
15,FED_20161228b_3T2,2,E,23,40,40.0033546270006,2,1.99941342300008,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg
,FED_20161228b_3T2,2,E,NA,42,42.0033403790003,2,1.99965188100032,0,NA,,NA,NA,NA,NA,NA,,
