file,manner,path,agent,itemset,blocktype,blocknum, trialnum
rock_to_8.mp4,rock,to,8,W,M,1, 1
rock_tofar_1.mp4,rock,tofar,1,W,M,1, 2
rock_circle_2.mp4,rock,circle,2,W,M,1, 3
rock_onto_3.mp4,rock,onto,3,W,M,1, 4
halfrotate_underfar_6.mp4,halfrotate,underfar,6,X,P,2, 5
bounce_underfar_4.mp4,bounce,underfar,4,X,P,2, 6
vibrate_underfar_5.mp4,vibrate,underfar,5,X,P,2, 7
stopstart_underfar_7.mp4,stopstart,underfar,7,X,P,2, 8
rotate_to_8.mp4,rotate,to,8,W,A,3, 9
wheelie_circle_8.mp4,wheelie,circle,8,W,A,3, 10
rock_tofar_8.mp4,rock,tofar,8,W,A,3, 11
sine_onto_8.mp4,sine,onto,8,W,A,3, 12
vibrate_behind_4.mp4,vibrate,behind,4,X,D,4, 13
stopstart_past_6.mp4,stopstart,past,6,X,D,4, 14
halfrotate_under_5.mp4,halfrotate,under,5,X,D,4, 15
bounce_underfar_7.mp4,bounce,underfar,7,X,D,4, 16
none_control1_2.mp4,none,control1,2,Y,C,5, 17
none_control4_3.mp4,none,control4,3,Y,C,5, 18
none_control2_1.mp4,none,control2,1,Y,C,5, 19
none_control3_8.mp4,none,control3,8,Y,C,5, 20
bounce_behind_4.mp4,bounce,behind,4,X,S,6, 21
bounce_behind_4.mp4,bounce,behind,4,X,S,6, 22
bounce_behind_4.mp4,bounce,behind,4,X,S,6, 23
bounce_behind_4.mp4,bounce,behind,4,X,S,6, 24
wheelie_circle_1.mp4,wheelie,circle,1,W,S,7, 25
wheelie_circle_1.mp4,wheelie,circle,1,W,S,7, 26
wheelie_circle_1.mp4,wheelie,circle,1,W,S,7, 27
wheelie_circle_1.mp4,wheelie,circle,1,W,S,7, 28
none_control5_5.mp4,none,control5,5,Z,C,8, 29
none_control6_7.mp4,none,control6,7,Z,C,8, 30
none_control7_4.mp4,none,control7,4,Z,C,8, 31
none_control8_6.mp4,none,control8,6,Z,C,8, 32
sine_to_2.mp4,sine,to,2,W,D,9, 33
rotate_tofar_1.mp4,rotate,tofar,1,W,D,9, 34
rock_circle_3.mp4,rock,circle,3,W,D,9, 35
wheelie_onto_8.mp4,wheelie,onto,8,W,D,9, 36
bounce_under_5.mp4,bounce,under,5,X,A,10, 37
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X,A,10, 38
vibrate_past_5.mp4,vibrate,past,5,X,A,10, 39
stopstart_behind_5.mp4,stopstart,behind,5,X,A,10, 40
rotate_to_3.mp4,rotate,to,3,W,P,11, 41
wheelie_to_1.mp4,wheelie,to,1,W,P,11, 42
rock_to_2.mp4,rock,to,2,W,P,11, 43
sine_to_8.mp4,sine,to,8,W,P,11, 44
halfrotate_under_6.mp4,halfrotate,under,6,X,M,12, 45
halfrotate_past_4.mp4,halfrotate,past,4,X,M,12, 46
halfrotate_behind_5.mp4,halfrotate,behind,5,X,M,12, 47
halfrotate_underfar_7.mp4,halfrotate,underfar,7,X,M,12, 48
