trial_type,measured_onset,perfect_onset,trialnum
fix,6227.129521,6236.629521, 
realTrial,6243.602812,6243.129521, 1
realTrial,6249.831990,6249.629521, 2
realTrial,6256.272475,6256.129521, 3
realTrial,6262.767471,6262.629521, 4
realTrial,6269.258841,6269.129521, 5
realTrial,6275.763025,6275.629521, 6
realTrial,6282.257261,6282.129521, 7
realTrial,6288.758428,6288.629521, 8
realTrial,6295.258990,6295.129521, 9
realTrial,6301.761813,6301.629521, 10
realTrial,6308.262230,6308.129521, 11
realTrial,6314.761209,6314.629521, 12
realTrial,6321.262046,6321.129521, 13
realTrial,6327.757931,6327.629521, 14
realTrial,6334.256065,6334.129521, 15
realTrial,6340.758348,6340.629521, 16
realTrial,6347.262035,6347.129521, 17
realTrial,6353.766084,6353.629521, 18
realTrial,6360.265905,6360.129521, 19
realTrial,6366.768535,6366.629521, 20
realTrial,6373.266945,6373.129521, 21
realTrial,6379.757158,6379.629521, 22
realTrial,6386.262011,6386.129521, 23
realTrial,6392.763369,6392.629521, 24
fix,6399.129624,6399.129521, 
realTrial,6415.340758,6415.129521, 25
realTrial,6421.772792,6421.629521, 26
realTrial,6428.262022,6428.129521, 27
realTrial,6434.765604,6434.629521, 28
realTrial,6441.259989,6441.129521, 29
realTrial,6447.762246,6447.629521, 30
realTrial,6454.259042,6454.129521, 31
realTrial,6460.757798,6460.629521, 32
realTrial,6467.258514,6467.129521, 33
realTrial,6473.758045,6473.629521, 34
realTrial,6480.258562,6480.129521, 35
realTrial,6486.757917,6486.629521, 36
realTrial,6493.264193,6493.129521, 37
realTrial,6499.757469,6499.629521, 38
realTrial,6506.268207,6506.129521, 39
realTrial,6512.765992,6512.629521, 40
realTrial,6519.258929,6519.129521, 41
realTrial,6525.758388,6525.629521, 42
realTrial,6532.263485,6532.129521, 43
realTrial,6538.756983,6538.629521, 44
realTrial,6545.259307,6545.129521, 45
realTrial,6551.764291,6551.629521, 46
realTrial,6558.262229,6558.129521, 47
realTrial,6564.759110,6564.629521, 48
fix,6571.129920,6571.129521, 
